time,gFx,gFy,gFz,gFTotal
0.004323959,0.19,-0.218,-0.833,0.882
0.016355038,0.15,-0.249,-0.804,0.855
0.023230076,0.129,-0.269,-0.881,0.93
0.034931183,0.146,-0.254,-0.919,0.965
0.043625116,0.123,-0.291,-0.822,0.881
0.054161072,0.116,-0.27,-0.967,1.011
0.065472126,0.152,-0.255,-0.932,0.978
0.07644105,0.177,-0.279,-0.943,0.999
0.08514905,0.181,-0.307,-1,1.062
0.094075203,0.189,-0.323,-1.001,1.069
0.104009151,0.176,-0.326,-0.989,1.056
0.114672184,0.148,-0.342,-0.983,1.051
0.123465061,0.121,-0.364,-0.991,1.063
0.135122061,0.11,-0.379,-1.009,1.083
0.143626213,0.131,-0.374,-0.998,1.074
0.153892994,0.16,-0.367,-1,1.077
0.164574146,0.176,-0.353,-0.989,1.065
0.17414403,0.178,-0.34,-0.965,1.039
0.184967041,0.187,-0.326,-0.934,1.007
0.194180012,0.202,-0.321,-0.906,0.982
0.20411396,0.183,-0.337,-0.881,0.961
0.215239048,0.144,-0.375,-0.865,0.954
0.223670959,0.119,-0.382,-0.874,0.961
0.234582901,0.138,-0.359,-0.899,0.978
0.244235039,0.181,-0.349,-0.913,0.994
0.253385067,0.18,-0.351,-0.912,0.994
0.265492916,0.155,-0.36,-0.918,0.998
0.273758888,0.132,-0.385,-0.903,0.99
0.28414917,0.119,-0.415,-0.875,0.976
0.293919086,0.102,-0.43,-0.864,0.97
0.304222107,0.086,-0.415,-0.853,0.952
0.315159082,0.072,-0.375,-0.861,0.942
0.32419014,0.06,-0.342,-0.882,0.948
0.333766937,0.05,-0.324,-0.891,0.949
0.344293118,0.041,-0.317,-0.884,0.94
0.353823185,0.036,-0.31,-0.88,0.934
0.364557028,0.055,-0.307,-0.88,0.934
0.374320984,0.087,-0.305,-0.864,0.92
0.383900166,0.002,-0.345,-0.863,0.929
0.39465189,-0.034,-0.361,-0.875,0.947
0.40447402,-0.028,-0.353,-0.871,0.94
0.415205002,0.028,-0.357,-0.853,0.925
0.424043179,0.057,-0.359,-0.839,0.914
0.434575081,-0.038,-0.403,-0.864,0.954
0.444199085,-0.049,-0.455,-0.896,1.006
0.454449177,-0.02,-0.45,-0.911,1.016
0.46440506,-0.007,-0.429,-0.911,1.007
0.474366188,0.011,-0.422,-0.903,0.997
0.486315012,0.006,-0.415,-0.91,1
0.494714022,-0.016,-0.401,-0.913,0.997
0.504076958,-0.053,-0.376,-0.923,0.998
0.515675068,-0.087,-0.343,-0.93,0.995
0.524671078,-0.086,-0.312,-0.893,0.95
0.534208059,-0.094,-0.261,-0.847,0.891
0.544341087,-0.135,-0.198,-0.812,0.847
0.554643154,-0.194,-0.127,-0.783,0.817
0.566013098,-0.268,-0.037,-0.782,0.827
0.574193001,-0.329,0.069,-0.802,0.87
0.584626198,-0.354,0.147,-0.791,0.879
0.59450388,-0.36,0.213,-0.795,0.898
0.604228973,-0.344,0.254,-0.808,0.914
0.616087914,-0.248,0.298,-0.937,1.014
0.624653101,-0.181,0.252,-0.946,0.996
0.634766102,-0.182,0.161,-0.96,0.99
0.644480228,-0.095,0.063,-1.069,1.075
0.655605078,-0.097,-0.035,-1.079,1.084
0.666436195,-0.232,-0.126,-0.996,1.03
0.675182104,-0.207,-0.165,-0.982,1.017
0.684978962,-0.113,-0.153,-0.996,1.014
0.695404053,-0.036,-0.126,-1.133,1.141
0.7048769,0.016,-0.083,-1.199,1.202
0.715986013,0.057,-0.113,-1.12,1.127
0.724986076,0.075,-0.181,-1.053,1.071
0.735259056,0.118,-0.244,-1.09,1.123
0.74476099,0.169,-0.312,-1.139,1.193
0.754995108,0.2,-0.363,-1.169,1.24
0.765806198,0.216,-0.379,-1.184,1.262
0.774779081,0.215,-0.371,-1.185,1.26
0.785077095,0.218,-0.348,-1.182,1.251
0.79465723,0.227,-0.324,-1.181,1.245
0.804924011,0.229,-0.293,-1.229,1.284
0.816402912,0.222,-0.292,-1.291,1.342
0.824691057,0.22,-0.28,-1.322,1.369
0.835401058,0.239,-0.183,-1.326,1.36
0.845391035,0.273,-0.107,-1.301,1.334
0.854600906,0.311,-0.109,-1.271,1.313
0.865920067,0.329,-0.102,-1.269,1.315
0.875049114,0.342,-0.093,-1.262,1.311
0.885509014,0.354,-0.116,-1.221,1.277
0.895748138,0.358,-0.131,-1.171,1.231
0.904839993,0.318,-0.117,-1.205,1.252
0.915894985,0.299,-0.116,-1.138,1.182
0.92534709,0.285,-0.12,-1.045,1.09
0.935312033,0.277,-0.143,-0.962,1.011
0.945045948,0.276,-0.21,-0.891,0.956
0.954872131,0.269,-0.286,-0.897,0.979
0.965680122,0.264,-0.312,-0.934,1.02
0.975043058,0.246,-0.288,-0.927,1.001
0.985191107,0.204,-0.206,-0.925,0.969
0.994844913,0.152,-0.118,-0.962,0.981
1.005230904,0.109,-0.004,-1.025,1.031
1.015400887,0.113,0.066,-1.088,1.096
1.025026083,0.159,0.021,-1.122,1.133
1.035228014,0.202,-0.06,-1.11,1.13
1.044773102,0.204,-0.08,-1.034,1.057
1.05547905,0.17,-0.069,-1.005,1.022
1.066123009,0.12,-0.046,-1.022,1.03
1.07467103,0.085,-0.055,-1.025,1.03
1.085401058,0.089,-0.102,-0.994,1.003
1.095808029,0.112,-0.148,-0.958,0.976
1.105097055,0.123,-0.16,-0.938,0.959
1.115310192,0.127,-0.166,-0.909,0.933
1.125629902,0.127,-0.181,-0.865,0.893
1.135397911,0.13,-0.201,-0.828,0.862
1.146326065,0.146,-0.221,-0.819,0.861
1.155393124,0.158,-0.231,-0.831,0.877
1.165606976,0.161,-0.24,-0.834,0.883
1.175201893,0.158,-0.26,-0.841,0.894
1.185336113,0.129,-0.28,-0.842,0.897
1.196374893,0.069,-0.279,-0.831,0.879
1.206247091,0.034,-0.281,-0.813,0.861
1.215639114,0.014,-0.319,-0.753,0.818
1.22567606,0.008,-0.371,-0.683,0.777
1.235453129,0.018,-0.32,-0.632,0.709
1.245779037,0.048,-0.263,-0.573,0.632
1.255714893,0.086,-0.269,-0.51,0.583
1.272226095,0.1,-0.317,-0.499,0.6
1.277593136,0.137,-0.316,-0.53,0.632
1.285646915,0.172,-0.288,-0.542,0.637
1.296182156,0.203,-0.281,-0.583,0.678
1.312629223,0.234,-0.301,-0.604,0.714
1.318901062,0.245,-0.343,-0.572,0.711
1.326282024,0.281,-0.371,-0.508,0.689
1.336340904,0.283,-0.412,-0.427,0.657
1.353415012,0.27,-0.415,-0.538,0.731
1.358557224,0.27,-0.415,-0.538,0.731
1.367101192,0.311,-0.353,-0.592,0.756
1.376398087,0.344,-0.225,-0.713,0.823
1.393407106,0.453,-0.205,-0.735,0.887
1.400216103,0.453,-0.205,-0.735,0.887
1.406012058,0.501,-0.254,-0.657,0.864
1.417320013,0.539,-0.27,-0.579,0.836
1.433937073,0.596,-0.208,-0.441,0.77
1.438823223,0.596,-0.208,-0.441,0.77
1.446813107,0.668,-0.184,-0.371,0.786
1.45650816,0.657,-0.172,-0.456,0.818
1.473149061,0.822,-0.045,-0.511,0.969
1.479275227,0.822,-0.045,-0.511,0.969
1.486403942,0.962,-0.021,-0.174,0.978
1.496633053,0.964,-0.049,-0.038,0.966
1.515919209,0.947,-0.047,-0.079,0.951
1.520322084,0.947,-0.047,-0.079,0.951
1.526162148,0.993,-0.015,-0.12,1
1.536474228,1.187,0.063,-0.408,1.257
1.554414034,1.24,0.266,-0.486,1.358
1.559212208,1.24,0.266,-0.486,1.358
1.567075014,1.303,0.373,-0.455,1.43
1.576258183,1.136,0.4,-0.516,1.31
1.593594074,1.131,0.5,-0.351,1.285
1.60030508,1.131,0.5,-0.351,1.285
1.606284142,1.231,0.547,-0.275,1.375
1.618130207,1.245,0.586,-0.204,1.391
1.63465023,1.199,0.543,-0.073,1.318
1.63923502,1.199,0.543,-0.073,1.318
1.647439957,1.188,0.519,-0.027,1.297
1.656188965,1.224,0.527,0.017,1.333
1.675273895,1.375,0.528,0.057,1.474
1.68019104,1.375,0.528,0.057,1.474
1.686721087,1.437,0.525,0.034,1.53
1.69742012,1.509,0.576,-0.014,1.615
1.715772152,1.64,0.399,-0.064,1.689
1.72088623,1.64,0.399,-0.064,1.689
1.726594925,1.711,0.226,-0.039,1.726
1.736320019,1.763,0.079,0.015,1.765
1.7547822,1.774,-0.188,0.193,1.794
1.759532928,1.774,-0.188,0.193,1.794
1.767988205,1.753,-0.274,0.22,1.788
1.776766062,1.721,-0.28,0.252,1.762
1.794563055,1.634,-0.167,0.334,1.676
1.801484108,1.634,-0.167,0.334,1.676
1.806362152,1.585,-0.15,0.405,1.643
1.817821026,1.513,-0.199,0.46,1.594
1.835729122,1.363,-0.164,0.518,1.467
1.839910984,1.363,-0.164,0.518,1.467
1.847390175,1.26,-0.172,0.554,1.387
1.856884956,1.155,-0.18,0.619,1.323
1.875793934,0.951,-0.17,0.848,1.285
1.880645037,0.951,-0.17,0.848,1.285
1.887039185,0.858,-0.083,1.005,1.324
1.897725105,0.741,0.016,1.079,1.309
1.915888071,0.661,0.112,0.993,1.198
1.920115948,0.661,0.112,0.993,1.198
1.92653513,0.773,0.217,0.897,1.204
1.93723011,0.877,0.384,0.815,1.257
1.956023216,0.829,0.453,0.625,1.133
1.960417032,0.829,0.453,0.625,1.133
1.967370033,0.8,0.359,0.577,1.05
1.977242947,0.791,0.245,0.563,1.001
1.996982098,0.917,0.277,0.581,1.12
2.001637936,0.917,0.277,0.581,1.12
2.006625175,0.977,0.376,0.582,1.198
