time,gFx,gFy,gFz,gFTotal
0.055850983,0.14,-0.194,-0.765,0.802
0.056439877,0.14,-0.194,-0.765,0.802
0.056955814,0.14,-0.194,-0.765,0.802
0.057396889,0.14,-0.194,-0.765,0.802
0.057799816,0.14,-0.194,-0.765,0.802
0.059290886,0.14,-0.194,-0.765,0.802
0.073748112,0.153,-0.208,-0.849,0.887
0.076596975,0.153,-0.208,-0.849,0.887
0.084465981,0.159,-0.218,-0.891,0.931
0.094801903,0.09,-0.216,-0.871,0.902
0.104257107,0.065,-0.226,-1.016,1.043
0.114979982,0.141,-0.199,-1.123,1.149
0.124269962,0.254,-0.147,-1.1,1.138
0.13441515,0.229,-0.106,-0.958,0.991
0.144976139,0.181,-0.125,-0.896,0.923
0.155661106,0.191,-0.142,-0.825,0.859
0.170519829,0.22,-0.11,-0.953,0.984
0.174400806,0.272,-0.1,-0.847,0.895
0.184633017,0.319,-0.071,-0.763,0.83
0.195246935,0.304,-0.065,-0.78,0.84
0.204805851,0.273,-0.104,-0.827,0.877
0.21507597,0.252,-0.148,-0.904,0.95
0.224803925,0.258,-0.193,-0.995,1.046
0.234980106,0.286,-0.196,-1.003,1.061
0.24573493,0.26,-0.199,-0.965,1.019
0.255723,0.188,-0.226,-0.995,1.038
0.271196842,0.144,-0.226,-1.105,1.137
0.274771929,0.159,-0.189,-1.184,1.209
0.285032034,0.197,-0.161,-1.203,1.23
0.295220852,0.191,-0.186,-1.151,1.181
0.304759979,0.178,-0.219,-1.024,1.062
0.314697027,0.183,-0.242,-0.905,0.955
0.325014114,0.244,-0.2,-0.82,0.879
0.334979057,0.425,-0.158,-0.747,0.874
0.345182896,0.515,-0.201,-0.704,0.895
0.355978966,0.526,-0.262,-0.603,0.842
0.372982025,0.462,-0.28,-0.629,0.829
0.376192093,0.333,-0.269,-0.616,0.75
0.38518095,0.248,-0.281,-0.609,0.715
0.396585941,0.257,-0.286,-0.57,0.688
0.405306816,0.297,-0.251,-0.581,0.699
0.414989948,0.345,-0.189,-0.673,0.78
0.425060034,0.513,-0.167,-0.537,0.761
0.435017109,0.626,-0.104,-0.593,0.869
0.446024895,0.728,-0.06,-0.608,0.95
0.456314087,0.86,-0.071,-0.419,0.959
0.471483946,0.885,-0.05,-0.411,0.977
0.475141048,0.876,0.033,-0.591,1.057
0.485216141,0.993,0.268,-1.556,1.865
0.495298862,0.894,0.54,-1.394,1.742
0.505203009,0.923,0.683,-1.104,1.593
0.515681982,0.865,0.638,-0.815,1.349
0.525539875,0.712,0.547,-0.76,1.176
0.534992933,0.679,0.415,-0.688,1.052
0.546224117,0.663,0.277,-0.66,0.976
0.556663036,0.685,0.201,-0.62,0.946
0.573508978,0.72,0.16,-0.488,0.884
0.577458858,0.709,0.123,-0.387,0.817
0.585713863,0.679,0.121,-0.316,0.759
0.596086979,0.658,0.18,-0.297,0.744
0.605386019,0.714,0.23,-0.383,0.842
0.615368843,0.846,0.238,-0.506,1.014
0.62509203,0.993,0.209,-0.593,1.175
