time,gFx,gFy,gFz,gFTotal
0.0045681,0.045,-0.386,-1.409,1.462
0.014527798,0.017,-0.323,-1.399,1.436
0.025727987,-0.004,-0.28,-1.326,1.355
0.044142962,-0.031,-0.279,-1.201,1.233
0.047463894,-0.05,-0.31,-1.091,1.135
0.054522038,-0.076,-0.346,-1.015,1.075
0.066576958,-0.108,-0.382,-0.963,1.042
0.074470997,-0.143,-0.417,-0.943,1.041
0.085845947,-0.172,-0.443,-0.941,1.054
0.094577789,-0.178,-0.44,-0.945,1.058
0.104758978,-0.165,-0.394,-0.958,1.049
0.11481595,-0.148,-0.322,-0.967,1.03
0.125629902,-0.142,-0.261,-0.955,1
0.14419508,-0.149,-0.218,-0.938,0.974
0.146995068,-0.153,-0.189,-0.926,0.957
0.154745102,-0.127,-0.185,-0.921,0.948
0.166521072,-0.093,-0.193,-0.907,0.932
0.174685001,-0.066,-0.213,-0.882,0.91
0.185942888,-0.057,-0.233,-0.84,0.874
0.194771767,-0.084,-0.25,-0.742,0.787
0.204959869,-0.065,-0.29,-0.692,0.753
0.215528965,-0.017,-0.326,-0.67,0.745
0.226750851,0.037,-0.324,-0.597,0.68
0.245979786,0.084,-0.284,-0.545,0.62
0.248122931,0.084,-0.284,-0.545,0.62
0.254879951,0.067,-0.243,-0.566,0.62
0.266935825,0.104,-0.224,-0.636,0.682
0.274954796,0.156,-0.233,-0.749,0.8
0.28667593,0.215,-0.257,-0.712,0.787
0.295126915,0.252,-0.276,-0.621,0.725
0.305113792,0.251,-0.285,-0.598,0.708
0.315453053,0.25,-0.284,-0.621,0.727
0.327501774,0.254,-0.282,-0.638,0.742
0.349274874,0.274,-0.277,-0.603,0.718
0.350818872,0.274,-0.277,-0.603,0.718
0.355329037,0.264,-0.271,-0.571,0.685
0.367628098,0.251,-0.277,-0.562,0.675
0.375310898,0.252,-0.281,-0.569,0.683
0.387848854,0.261,-0.285,-0.592,0.707
0.395618916,0.243,-0.291,-0.622,0.728
0.405651093,0.153,-0.311,-0.652,0.738
0.415885925,-0.129,-0.427,-0.707,0.836
0.428023815,-0.259,-0.624,-0.73,0.995
0.453466892,-0.067,-0.498,-1.77,1.84
0.455878973,-0.107,-0.58,-0.857,1.04
0.458871841,-0.107,-0.58,-0.857,1.04
0.467884064,0.116,-0.565,-1.112,1.253
0.475558758,0.125,-0.204,-1.136,1.161
0.487312794,0.305,-0.124,-1.072,1.121
0.495595932,0.422,-0.288,-1.049,1.167
0.505595922,0.279,-0.446,-0.913,1.054
0.515987873,0.132,-0.425,-0.796,0.912
0.527897835,0.131,-0.352,-0.833,0.914
0.549859047,0.292,-0.313,-0.874,0.973
0.551416874,0.292,-0.313,-0.874,0.973
0.555744886,0.258,-0.367,-1.002,1.098
0.567924976,0.234,-0.359,-1.102,1.182
0.575741768,0.335,-0.416,-1.296,1.402
0.588149071,0.424,-0.432,-1.484,1.603
0.595957756,0.461,-0.391,-1.538,1.653
0.60599494,0.49,-0.371,-1.429,1.556
0.616317987,0.495,-0.345,-1.285,1.42
0.628697872,0.517,-0.327,-1.181,1.33
0.654092789,0.607,-0.344,-1.009,1.227
0.656777859,0.59,-0.311,-0.937,1.15
0.659444809,0.59,-0.311,-0.937,1.15
0.668504953,0.547,-0.225,-0.793,0.989
0.675987959,0.496,-0.339,-0.65,0.885
0.68776083,0.566,-0.841,-0.387,1.085
0.695990086,0.464,-0.951,-0.308,1.102
0.706005096,0.394,-0.876,-0.415,1.046
0.716291904,0.463,-0.752,-0.466,0.999
0.728533983,0.558,-0.586,-0.502,0.952
0.751105785,0.698,-0.305,-0.422,0.871
0.752680779,0.698,-0.305,-0.422,0.871
0.756110907,0.702,-0.184,-0.386,0.822
0.768733978,0.659,-0.074,-0.331,0.741
0.776103973,0.539,0.047,-0.245,0.594
0.788578033,0.331,0.188,-0.108,0.396
0.79647994,0.046,0.358,0.119,0.38
0.806395054,-0.191,0.461,0.196,0.536
0.816514969,-0.241,0.443,0.286,0.58
0.829488754,-0.084,0.432,0.229,0.496
0.852818966,0.037,0.647,0.346,0.735
0.854445934,0.037,0.647,0.346,0.735
0.856847763,0.234,0.715,0.215,0.782
0.868787766,0.413,0.634,0.107,0.764
0.876940966,0.667,0.519,-0.106,0.852
0.887742996,0.928,0.443,-0.312,1.075
0.896301985,1.155,0.428,-0.51,1.333
0.90633297,1.419,0.421,-0.718,1.645
0.916597843,1.631,0.394,-0.894,1.901
0.928217888,1.76,0.42,-1.038,2.086
0.949436903,1.772,0.186,-0.974,2.031
0.950791836,1.772,0.186,-0.974,2.031
0.956657887,1.909,-0.005,-0.838,2.085
0.969167948,1.895,-0.16,-0.599,1.994
0.976523876,1.854,-0.148,-0.322,1.888
0.987930775,1.898,-0.083,-0.318,1.926
0.996463776,1.968,-0.032,-0.345,1.998
1.00675106,2.012,0.022,-0.298,2.034
1.016783953,2.046,0.036,-0.24,2.06
1.028666019,2.022,-0.053,-0.18,2.031
1.049448013,2.008,-0.354,0.005,2.039
1.050970078,2.008,-0.354,0.005,2.039
1.056920052,2.006,-0.561,-0.011,2.083
1.06911993,1.984,-0.607,-0.081,2.076
1.079353809,2.021,-0.544,-0.144,2.098
1.090047836,2.023,-0.453,-0.208,2.084
1.098244905,1.98,-0.392,-0.194,2.028
1.10696888,1.947,-0.357,-0.093,1.982
1.117093086,1.875,-0.328,0.027,1.904
1.127966881,1.789,-0.312,0.145,1.822
1.148860931,1.594,-0.278,0.284,1.643
1.150019884,1.594,-0.278,0.284,1.643
1.15673399,1.489,-0.238,0.29,1.536
1.168344975,1.358,-0.184,0.272,1.397
1.177118778,1.237,-0.114,0.227,1.263
1.188354015,1.105,-0.072,0.163,1.119
1.19697094,1.027,0.003,0.138,1.036
1.20685792,1.006,0.094,0.151,1.022
1.217350006,0.974,0.2,0.155,1.006
1.22835207,0.928,0.311,0.141,0.989
1.247714043,0.762,0.417,0.134,0.879
1.249054909,0.762,0.417,0.134,0.879
1.25680995,0.724,0.422,0.096,0.843
1.268610954,0.711,0.366,0.07,0.803
1.277331829,0.742,0.356,0.043,0.824
1.288207054,0.805,0.4,-0.013,0.899
1.297585011,0.78,0.435,-0.065,0.895
1.307579994,0.7,0.512,-0.025,0.868
1.317251921,0.611,0.485,0.014,0.78
1.328552961,0.559,0.41,0.025,0.694
1.350972891,0.511,0.361,0.052,0.628
1.35234499,0.511,0.361,0.052,0.628
1.357307911,0.535,0.385,0.044,0.661
1.368730068,0.549,0.419,0.013,0.691
1.377269983,0.518,0.437,-0.037,0.679
1.388822079,0.479,0.471,-0.084,0.677
1.39772296,0.459,0.528,-0.081,0.704
1.407692909,0.492,0.588,-0.045,0.768
1.417870045,0.562,0.607,-0.017,0.827
1.428677082,0.659,0.617,0.016,0.903
1.448515892,0.718,0.501,0.138,0.886
1.450529099,0.718,0.501,0.138,0.886
