time,gFx,gFy,gFz,gFTotal
0.001703739,-0.054,-0.434,-0.629,0.766
0.006833792,-0.066,-0.411,-0.664,0.784
0.0136168,-0.035,-0.391,-0.78,0.873
0.022895813,-0.021,-0.406,-0.86,0.951
0.034010887,-0.036,-0.444,-0.87,0.977
0.042764902,-0.037,-0.462,-0.881,0.995
0.05298996,-0.033,-0.465,-0.903,1.016
0.062800884,-0.036,-0.484,-0.921,1.041
0.074308872,-0.044,-0.524,-0.942,1.079
0.084089756,-0.047,-0.555,-0.972,1.12
0.099021912,-0.038,-0.557,-1.023,1.165
0.103144884,-0.014,-0.52,-1.12,1.235
0.114204884,0.025,-0.455,-1.229,1.311
0.122997761,0.037,-0.406,-1.269,1.333
0.13425684,0.032,-0.403,-1.281,1.343
0.143050671,0.019,-0.436,-1.264,1.337
0.153870821,0.013,-0.491,-1.236,1.33
0.162930965,0.035,-0.535,-1.247,1.357
0.174525738,0.073,-0.551,-1.298,1.412
0.184849739,0.103,-0.522,-1.361,1.461
0.199710846,0.14,-0.425,-1.435,1.503
0.204211712,0.196,-0.288,-1.494,1.534
0.21446991,0.238,-0.159,-1.498,1.525
0.223222733,0.256,-0.072,-1.423,1.448
0.234449863,0.261,-0.063,-1.287,1.315
0.243556023,0.26,-0.138,-1.164,1.201
0.253367901,0.248,-0.273,-1.065,1.127
0.263374805,0.216,-0.405,-0.974,1.077
0.274886847,0.191,-0.501,-0.913,1.059
0.284981728,0.187,-0.536,-0.917,1.078
0.29932189,0.192,-0.497,-0.966,1.103
0.303947926,0.199,-0.417,-0.998,1.1
0.31462574,0.203,-0.334,-1.011,1.084
0.323365688,0.203,-0.267,-1.004,1.059
0.335362911,0.201,-0.222,-0.969,1.014
0.343453884,0.193,-0.2,-0.924,0.965
0.35362196,0.176,-0.195,-0.868,0.907
0.363431931,0.15,-0.209,-0.806,0.846
0.37518692,0.122,-0.234,-0.74,0.786
0.386181831,0.094,-0.259,-0.682,0.736
0.403066874,0.055,-0.269,-0.622,0.68
0.4063797,0.055,-0.269,-0.622,0.68
0.423431873,0.035,-0.276,-0.603,0.664
0.426821709,0.035,-0.276,-0.603,0.664
0.439414978,0.032,-0.284,-0.599,0.664
0.443723679,0.025,-0.283,-0.597,0.661
0.454204798,0.027,-0.272,-0.594,0.654
0.463900805,0.039,-0.266,-0.554,0.616
