time;gFx;gFy;gFz;TgF
0.006486979;-0,5614;0,6529;0,6186;1,060
0.007565625;-0,5562;0,6336;0,6247;1,049
0.00844375;-0,5546;0,6280;0,6126;1,038
0.009058854;-0,5493;0,6215;0,6135;1,032
0.009810417;-0,5436;0,6098;0,6091;1,019
0.010628125;-0,5417;0,6067;0,5969;1,009
0.011273959;-0,5363;0,6059;0,5873;1,000
0.016863542;-0,5245;0,6109;0,5872;0,996
0.022027604;-0,5048;0,6165;0,5886;0,991
0.023338542;-0,4992;0,6178;0,6068;1,000
0.029661459;-0,4955;0,6125;0,6291;1,008
0.034161979;-0,4880;0,6088;0,6410;1,010
0.0381125;-0,4693;0,6060;0,6675;1,016
0.043069271;-0,4463;0,5962;0,6953;1,019
0.047993229;-0,4193;0,5698;0,7121;1,004
0.053078125;-0,3928;0,5571;0,7156;0,988
0.057888021;-0,3713;0,5479;0,7289;0,985
0.062944271;-0,3533;0,5334;0,7387;0,977
0.067857813;-0,3490;0,5238;0,7398;0,971
0.072872396;-0,3387;0,5172;0,7338;0,959
0.077777604;-0,3471;0,5106;0,7337;0,959
0.083746354;-0,3622;0,5027;0,7379;0,964
0.087668229;-0,3811;0,5010;0,7468;0,977
0.092730209;-0,4055;0,4978;0,7587;0,994
0.097580209;-0,4180;0,4940;0,7657;1,003
0.10264375;-0,4254;0,4878;0,7774;1,012
0.107535417;-0,4294;0,4868;0,7985;1,029
0.112530729;-0,4226;0,4780;0,8153;1,035
0.118163021;-0,3954;0,4774;0,8233;1,031
0.122592188;-0,3508;0,4770;0,8219;1,013
0.127375521;-0,3078;0,4810;0,8167;0,997
0.132454167;-0,2853;0,4886;0,8135;0,991
0.137746354;-0,2756;0,4641;0,8049;0,969
0.145109375;-0,2495;0,4167;0,7921;0,929
0.147261459;-0,2637;0,3910;0,8051;0,933
0.152299479;-0,3008;0,3928;0,8418;0,976
0.157245834;-0,3533;0,3957;0,8972;1,042
0.162684896;-0,3991;0,4036;0,9466;1,104
0.16755625;-0,4260;0,4047;0,9803;1,143
0.172291667;-0,3767;0,3559;0,9765;1,105
0.176996875;-0,3723;0,3257;0,9803;1,098
0.182135938;-0,4069;0,3444;0,9801;1,116
0.1873;-0,3627;0,3535;0,9811;1,104
0.192016667;-0,3346;0,3594;0,9556;1,074
0.196874479;-0,3083;0,3249;0,8902;0,997
0.202426042;-0,2933;0,2951;0,8419;0,939
0.206888021;-0,2631;0,3037;0,7885;0,885
0.211919271;-0,1979;0,2851;0,7668;0,842
0.217350521;-0,1433;0,2818;0,7676;0,830
0.221998959;-0,0961;0,2878;0,7943;0,850
0.2268875;-0,0425;0,2866;0,8506;0,899
0.231644271;-0,0067;0,2897;0,9322;0,976
0.236589063;0,0136;0,2808;1,0024;1,041
0.241760417;0,0275;0,2712;1,0544;1,089
0.246491667;0,0458;0,2622;1,0754;1,108
0.251967188;0,0685;0,2471;1,0793;1,109
0.256676563;0,1003;0,2165;1,0956;1,121
0.261480729;0,1355;0,1717;1,1016;1,123
0.267567188;0,1609;0,1182;1,0987;1,117
0.271534896;0,1941;0,0680;1,0999;1,119
0.276522396;0,2232;0,0183;1,0994;1,122
0.281408854;0,2543;-0,0127;1,0815;1,111
0.286274479;0,2638;-0,0032;1,0605;1,093
0.291286979;0,2250;0,0215;1,0159;1,041
0.296208854;0,2033;0,0377;0,9844;1,006
0.301394792;0,1746;0,0232;0,9806;0,996
0.306229167;0,1381;-0,0080;0,9575;0,967
0.311054688;0,0808;-0,0391;0,9369;0,941
0.318646354;0,0123;-0,0488;0,9722;0,973
0.321389583;-0,0408;-0,0593;0,9741;0,977
0.326209896;-0,0666;-0,0802;0,9737;0,979
0.331324479;-0,0743;-0,0741;1,0254;1,031
0.335956771;-0,1006;-0,0602;1,0772;1,084
0.34093125;-0,1596;-0,0255;1,1462;1,158
0.34795;-0,2227;-0,0054;1,2121;1,232
0.351117188;-0,2771;-0,0004;1,2707;1,301
0.356159375;-0,2971;-0,0214;1,3185;1,352
0.360810938;-0,2890;-0,0675;1,3339;1,367
0.367644792;-0,2153;-0,0621;1,3436;1,362
0.370822917;-0,1578;-0,0663;1,3317;1,343
0.375621354;-0,1122;-0,0765;1,2976;1,305
0.380815104;-0,0569;-0,0740;1,2337;1,237
0.385548958;-0,0487;-0,0653;1,1393;1,142
0.390525;-0,0492;-0,0309;1,0684;1,070
0.395707292;-0,0731;0,0237;0,9948;0,998
0.402175;-0,1005;0,0993;0,9621;0,972
0.4054875;-0,1531;0,1720;0,9936;1,020
0.410367188;-0,2190;0,2448;1,0394;1,090
0.415352083;-0,2893;0,2597;1,0836;1,151
0.420742188;-0,3679;0,1623;1,0979;1,169
0.425211458;-0,2514;0,1310;1,1202;1,156
0.430289583;0,0166;0,1705;1,0515;1,065
0.435498438;0,2269;0,2265;0,9429;0,996
0.440274479;0,3731;0,3001;0,7924;0,926
0.445025;0,4209;0,3538;0,6635;0,862
0.450615625;0,3721;0,3999;0,6893;0,880
0.4551375;0,2665;0,4342;0,7560;0,912
0.459958333;0,2049;0,4438;0,8073;0,944
0.465026563;0,2045;0,4086;0,7554;0,883
0.469954167;0,1691;0,3778;0,7232;0,833
0.475003646;0,0836;0,3635;0,7479;0,836
0.479893229;-0,0157;0,3568;0,7825;0,860
