time;gFx;gFy;gFz;TgF
0.003210416;0,2912;0,4669;0,8315;0,997
0.00381875;0,2716;0,4451;0,8172;0,969
0.004041666;0,2487;0,4306;0,8040;0,945
0.004185937;0,2190;0,4093;0,7921;0,918
0.004521875;0,2299;0,3950;0,7924;0,915
0.0100375;0,2322;0,3905;0,7911;0,912
0.01656875;0,2157;0,3845;0,8214;0,932
0.017023958;0,2391;0,3560;0,8359;0,939
0.022340104;0,2636;0,3094;0,8587;0,950
0.033557291;0,3461;0,2510;0,9294;1,023
0.034067708;0,3983;0,2679;0,9611;1,074
0.037051041;0,3862;0,3012;0,9695;1,086
0.109533333;0,4201;0,2912;0,9842;1,109
0.109963541;0,4421;0,2790;0,9983;1,127
0.11013125;0,4485;0,2440;1,0155;1,137
0.110371875;0,5311;0,2128;1,0373;1,185
0.110830208;0,5422;0,2058;1,0391;1,190
0.111049479;0,5204;0,2063;1,0592;1,198
0.111395312;0,5061;0,1927;1,0789;1,207
0.111608854;0,4671;0,1798;1,0679;1,179
0.111723437;0,4488;0,1735;1,0630;1,167
0.111866666;0,4351;0,1496;1,0482;1,145
0.111991145;0,4366;0,1239;1,0413;1,136
0.112139583;0,4207;0,1180;1,0369;1,125
0.112243229;0,4111;0,1070;1,0485;1,131
0.112336979;0,3858;0,0997;1,0406;1,114
0.112433854;0,3814;0,0989;1,0049;1,079
0.116369791;0,3872;0,0974;0,9923;1,070
0.121476562;0,3870;0,0877;0,9765;1,054
0.130879166;0,3689;0,0891;0,9558;1,028
0.131298958;0,3442;0,0867;0,9367;1,002
0.136227083;0,3196;0,0860;0,9107;0,969
0.147574479;0,3014;0,0831;0,8760;0,930
0.148019791;0,2821;0,0918;0,8338;0,885
0.151001041;0,2721;0,0922;0,7991;0,849
0.156048958;0,2788;0,0919;0,7816;0,835
0.164360937;0,1915;0,1869;0,7950;0,839
0.165955208;0,3149;0,1652;0,8130;0,887
0.170941145;0,3965;0,1361;0,7706;0,877
0.182369791;0,4238;0,1394;0,7369;0,861
0.182945312;0,4620;0,1210;0,7212;0,865
0.18592552;0,4287;0,1314;0,6989;0,830
0.197713541;0,4283;0,1138;0,6813;0,813
0.19829427;0,3597;0,1240;0,6636;0,765
0.20065677;0,3340;0,1210;0,6557;0,746
0.205667187;0,2863;0,1248;0,6468;0,718
0.213899479;0,2719;0,1091;0,6448;0,708
0.215575;0,2842;0,0849;0,6494;0,714
0.220622916;0,3321;0,0614;0,6556;0,737
0.231047916;0,3879;0,0525;0,6733;0,779
0.231823958;0,4324;0,0505;0,7057;0,829
0.235653124;0,4066;-0,0325;0,7480;0,852
0.24737552;0,4362;-0,0357;0,7696;0,885
0.24782552;0,4778;-0,0167;0,7759;0,911
0.250326562;0,4980;-0,0161;0,7849;0,930
0.255222916;0,5157;-0,0092;0,7885;0,942
0.264135937;0,5004;-0,0531;0,7931;0,939
0.265176041;0,4830;-0,0863;0,7956;0,935
0.270188541;0,4530;-0,1161;0,7900;0,918
0.280278645;0,4383;-0,1192;0,7850;0,907
0.280870833;0,4234;-0,1345;0,7804;0,898
0.28491302;0,3916;-0,1437;0,7491;0,857
0.297605208;0,3459;-0,1758;0,7159;0,814
0.298246354;0,3161;-0,1918;0,6998;0,791
0.299970833;0,2963;-0,2308;0,6534;0,754
0.304863541;0,2739;-0,2582;0,6133;0,720
0.314166145;0,2609;-0,2831;0,5850;0,700
0.314786458;0,2580;-0,3137;0,5599;0,692
0.319890624;0,2618;-0,3216;0,5631;0,699
0.332379687;0,2743;-0,3285;0,5682;0,711
0.333041145;0,2648;-0,3299;0,5801;0,718
0.33459427;0,2533;-0,3266;0,5982;0,727
0.347192708;0,2525;-0,3259;0,6112;0,737
0.347883854;0,2483;-0,3470;0,6341;0,764
0.349642708;0,2498;-0,3840;0,6695;0,811
0.354542708;0,2612;-0,4084;0,7129;0,862
0.363753124;0,2569;-0,4144;0,7737;0,915
0.364416666;0,3116;-0,4276;0,8369;0,990
0.369484895;0,4066;-0,4403;0,8872;1,071
0.381534374;0,4441;-0,4458;0,9234;1,117
0.382354166;0,4829;-0,4489;0,9360;1,145
0.38429427;0,5504;-0,4558;0,9301;1,173
0.398390104;0,6275;-0,4524;0,9011;1,188
0.399255208;0,7116;-0,4520;0,8757;1,216
0.399435937;0,7810;-0,4406;0,8835;1,259
0.404324999;0,8219;-0,4189;0,9056;1,293
0.412766145;0,8376;-0,4462;0,9270;1,327
0.414216145;0,8334;-0,4818;0,9425;1,347
0.419232291;0,8161;-0,4834;0,9526;1,344
0.43036302;0,8005;-0,4670;0,9576;1,333
0.431165104;0,7760;-0,4526;0,9624;1,317
0.433898437;0,7590;-0,4480;0,9489;1,295
0.439138541;0,7743;-0,4503;0,9295;1,291
0.44691927;0,7789;-0,4550;0,9062;1,279
0.448935937;0,7810;-0,4689;0,8854;1,270
0.453959895;0,8184;-0,4780;0,8955;1,304
0.466711979;0,8702;-0,4681;0,8957;1,334
0.467534895;0,9232;-0,4607;0,8966;1,367
0.468748437;0,9699;-0,4556;0,8929;1,395
0.480685937;0,9951;-0,4463;0,8604;1,389
0.481933333;1,0072;-0,4121;0,8329;1,370
0.48365677;1,0026;-0,3935;0,7929;1,337
0.488773958;0,9943;-0,3837;0,7530;1,305
0.497516145;0,9799;-0,3766;0,7246;1,276
0.498590624;0,9518;-0,3786;0,7057;1,244
0.503481249;0,9205;-0,3764;0,6811;1,205
0.513640104;0,8886;-0,3681;0,6668;1,170
0.514630729;0,8812;-0,3418;0,6347;1,139
0.518634895;0,8902;-0,3117;0,5703;1,102
0.529722395;0,9309;-0,2926;0,4978;1,095
0.530523437;0,9874;-0,2910;0,4393;1,119
0.533239583;1,0455;-0,2981;0,3735;1,150
0.538369791;1,1079;-0,2962;0,3281;1,193
0.547352083;1,1581;-0,2883;0,3232;1,236
0.548218229;1,2105;-0,2786;0,3144;1,281
0.553149479;1,2544;-0,2584;0,3321;1,323
0.563839583;1,2899;-0,2455;0,3585;1,361
0.564652604;1,3031;-0,2215;0,4050;1,382
0.567986979;1,3254;-0,1972;0,4593;1,417
0.581685416;1,3580;-0,1924;0,4946;1,458
0.582457291;1,3737;-0,1844;0,5234;1,482
0.582858854;1,3541;-0,1873;0,5615;1,478
0.587909374;1,3348;-0,1742;0,5920;1,471
0.605041666;1,3329;-0,1452;0,5874;1,464
0.605954166;1,3496;-0,1207;0,5426;1,460
0.606339583;1,3761;-0,0935;0,4737;1,458
0.607840624;1,3798;-0,0799;0,4040;1,440
0.613095833;1,3847;-0,0612;0,3365;1,426
0.61803177;1,4028;-0,0371;0,2950;1,434
0.622681249;1,4276;-0,0155;0,2795;1,455
0.627905729;1,4385;-0,0049;0,2644;1,463
0.632609374;1,4279;0,0071;0,2596;1,451
0.637758333;1,4042;0,0145;0,2818;1,432
0.643618229;1,3660;0,0328;0,2917;1,397
0.647574479;1,3280;0,0511;0,3174;1,366
0.652353645;1,2868;0,0475;0,3482;1,334
0.657554687;1,2323;0,0490;0,3627;1,285
0.662463541;1,1944;0,0368;0,3890;1,257
0.667283854;1,1531;0,0410;0,4013;1,222
0.672281249;1,1261;0,0477;0,4119;1,200
0.677505729;1,0994;0,0458;0,4160;1,176
0.682259374;1,0648;0,0434;0,4065;1,141
0.68718177;0,9737;0,0481;0,3916;1,051
0.692460937;0,9863;0,0290;0,3594;1,050
0.697230729;0,9910;0,0223;0,3297;1,045
0.701897395;1,0004;0,0269;0,2706;1,037
0.708701562;1,0681;0,0132;0,1959;1,086
0.712339583;1,0737;0,0132;0,1170;1,080
0.717255208;1,0843;0,0052;0,0588;1,086
0.721926041;1,0735;0,0140;0,0010;1,074
0.727301041;1,0724;0,0323;-0,0673;1,075
0.731917187;1,0971;0,0406;-0,1130;1,104
0.737223437;1,1291;0,0461;-0,1678;1,142
0.741896354;1,1437;0,0451;-0,2187;1,165
0.746978124;1,1421;0,0478;-0,2618;1,173
0.752273437;1,1136;0,0529;-0,2715;1,147
0.757895833;1,0887;0,0422;-0,2574;1,119
0.762065624;1,0586;0,0325;-0,2241;1,083
0.766860416;1,0475;0,0229;-0,1711;1,062
0.771766145;1,0531;0,0152;-0,1244;1,061
0.777882812;1,0663;0,0036;-0,0936;1,070
0.781758333;1,0792;-0,0119;-0,0609;1,081
0.786695833;1,0876;-0,0287;-0,0440;1,089
0.79272552;1,0826;-0,0423;-0,0270;1,084
0.79795052;1,0750;-0,0729;-0,0595;1,079
0.801956249;1,0597;-0,0885;-0,0783;1,066
