time;gFx;gFy;gFz;TgF
0.002214583;0,3296;0,4285;0,9721;1,112
0.00278125;0,2921;0,4396;0,9769;1,110
0.003115104;0,2729;0,4385;0,9834;1,111
0.003303125;0,2563;0,4532;0,9907;1,119
0.008836979;0,2442;0,4566;0,9801;1,108
0.012880208;0,2356;0,4676;0,9376;1,074
0.024858854;0,2245;0,4877;0,8832;1,034
0.025415104;0,2412;0,4938;0,8443;1,007
0.027610938;0,2614;0,5070;0,8372;1,013
0.033488021;0,2672;0,5146;0,8527;1,031
0.037613021;0,2861;0,5126;0,8641;1,045
0.042617188;0,3148;0,4992;0,8732;1,054
0.047507292;0,3179;0,4944;0,8837;1,061
0.052596354;0,3265;0,4868;0,8918;1,067
0.057668229;0,3209;0,5077;0,9536;1,127
0.062382292;0,3196;0,5154;0,9993;1,169
0.067492188;0,3074;0,5289;1,0241;1,193
0.072703125;0,3004;0,5314;1,0396;1,206
0.077085938;0,2963;0,5208;1,0477;1,207
0.083465104;0,2633;0,5225;1,0421;1,195
0.087341667;0,2568;0,5110;1,0250;1,174
0.092422917;0,2586;0,5002;1,0280;1,172
0.097020313;0,2507;0,4745;0,9975;1,133
0.102623438;0,2618;0,4424;0,9778;1,105
0.107111979;0,2870;0,4147;0,9662;1,090
0.112001563;0,3045;0,3824;0,9150;1,037
0.117296875;0,3371;0,3231;0,8203;0,944
0.122092708;0,3387;0,2952;0,7738;0,895
0.126839063;0,2705;0,2440;0,7542;0,838
0.134102604;0,2861;0,2128;0,8225;0,897
0.136977083;0,3109;0,2453;0,8859;0,970
0.141890104;0,2932;0,2494;0,9196;0,997
0.147194792;0,3058;0,2418;0,9756;1,051
0.152066146;0,1833;0,2460;1,0295;1,074
0.156719792;0,1639;0,2670;1,1037;1,147
0.161690625;0,2082;0,3008;1,2003;1,255
0.166630729;0,2417;0,3019;1,3020;1,358
0.171918229;0,3488;0,2670;1,3499;1,420
0.176623958;0,4370;0,2416;1,3852;1,472
0.181510417;0,5175;0,2058;1,4077;1,514
0.186594792;0,5344;0,1679;1,4028;1,510
0.19159375;0,5092;0,1316;1,3895;1,486
0.196289063;0,4773;0,0930;1,3538;1,439
0.201902083;0,4626;0,0683;1,3021;1,384
0.206360938;0,4716;0,0411;1,2501;1,337
0.211130729;0,4973;0,0329;1,1955;1,295
0.216390104;0,5216;0,0076;1,1468;1,260
0.221482813;0,5253;-0,0386;1,0918;1,212
0.226091667;0,5099;-0,0860;1,0356;1,158
0.231411458;0,4982;-0,1195;1,0250;1,146
0.236475521;0,4544;-0,1399;1,0202;1,126
0.241147917;0,4110;-0,1490;1,0317;1,121
0.245923438;0,3618;-0,1285;1,0974;1,163
0.251422917;0,3300;-0,0514;1,1499;1,197
0.256016667;0,3174;0,0115;1,2128;1,254
0.260884896;0,3013;0,0323;1,2405;1,277
0.266265104;0,3038;0,0287;1,2305;1,268
0.271294271;0,2954;-0,0082;1,1890;1,225
0.275850521;0,2764;-0,0439;1,1059;1,141
0.280815104;0,2270;-0,0541;1,0232;1,049
0.285801042;0,1888;-0,0465;0,9566;0,976
0.2907625;0,1414;-0,0344;0,8901;0,902
0.29580625;0,1109;-0,0219;0,8287;0,836
0.301673958;0,1144;-0,0002;0,7354;0,744
0.305975;0,1301;0,0203;0,6483;0,662
0.310555208;0,2029;0,0300;0,6079;0,642
0.316377083;0,2171;0,0415;0,5859;0,626
0.320634896;0,2206;0,0482;0,5861;0,628
0.325419792;0,2641;0,0419;0,5796;0,638
0.330390625;0,2995;0,0275;0,5545;0,631
0.335896354;0,3338;0,0140;0,5248;0,622
0.34066875;0,3463;0,0657;0,5079;0,618
0.345358333;0,3756;0,0351;0,5013;0,627
0.351501563;0,4001;-0,0090;0,4930;0,635
0.355244271;0,4236;-0,0465;0,4658;0,631
0.3602125;0,4555;-0,1124;0,4208;0,630
0.365308333;0,4800;-0,1298;0,3705;0,620
0.370403125;0,5158;-0,1675;0,3187;0,629
0.375058333;0,5598;-0,1849;0,2880;0,656
0.380079688;0,5588;-0,2115;0,2637;0,653
0.385647917;0,5296;-0,1991;0,2667;0,626
0.390283854;0,4695;-0,1716;0,2765;0,571
0.395357292;0,4045;-0,1392;0,3030;0,524
0.400113021;0,3329;-0,1190;0,3388;0,490
0.404932292;0,2451;-0,1236;0,3602;0,453
0.409736979;0,1877;-0,1296;0,3844;0,447
0.414686458;0,1215;-0,1505;0,4218;0,464
0.420116146;0,0688;-0,1774;0,4567;0,495
0.424749479;0,0281;-0,2051;0,4998;0,541
0.429589583;0,0247;-0,2370;0,5576;0,606
0.435052604;0,0814;-0,2450;0,5917;0,646
0.439914063;0,1803;-0,2516;0,6119;0,686
0.444445833;0,3004;-0,2547;0,6119;0,728
0.449567188;0,4091;-0,2278;0,5969;0,759
0.454588021;0,4728;-0,1910;0,5686;0,764
0.459415625;0,5005;-0,1599;0,5598;0,768
0.464425521;0,5079;-0,1383;0,5580;0,767
0.469707813;0,5098;-0,1184;0,5488;0,758
0.474267708;0,5124;-0,0740;0,5234;0,736
0.479267708;0,5030;-0,0551;0,5001;0,711
0.484657292;0,4956;-0,0500;0,4893;0,698
0.489999479;0,4918;0,0084;0,5018;0,703
0.494491667;0,5298;-0,0183;0,5156;0,739
0.502346875;0,5489;-0,0535;0,5229;0,760
0.504464063;0,5653;-0,0580;0,5460;0,788
0.509109896;0,6217;-0,0883;0,5918;0,863
