time;gFx;gFy;gFz;TgF
0.003433334;0,3198;0,4759;0,8403;1,017
0.004240105;0,2839;0,4655;0,8193;0,984
0.004519271;0,2673;0,4781;0,8278;0,993
0.004702605;0,2743;0,4726;0,8266;0,991
0.013984375;0,2908;0,4658;0,8266;0,992
0.017434896;0,2899;0,4750;0,8314;1,000
0.017919271;0,3027;0,4724;0,8440;1,013
0.021303125;0,3056;0,4699;0,8570;1,024
0.026266146;0,2873;0,4755;0,8666;1,029
0.030944792;0,2945;0,4794;0,8879;1,051
0.036907813;0,2883;0,4892;0,9072;1,070
0.041454688;0,2957;0,4857;0,9261;1,087
0.046034896;0,2928;0,4711;0,9164;1,071
0.051063542;0,2890;0,4536;0,9068;1,054
0.056434375;0,2911;0,4329;0,8752;1,019
0.060957813;0,2888;0,3956;0,8414;0,974
0.06626198;0,2858;0,3755;0,8223;0,948
0.071139063;0,2946;0,3699;0,7927;0,923
0.075921875;0,3043;0,3613;0,7710;0,904
0.080995834;0,3172;0,3664;0,7765;0,915
0.088780209;0,3247;0,3756;0,7896;0,933
0.09081875;0,3262;0,3726;0,8007;0,941
0.09593073;0,3285;0,3687;0,8222;0,959
0.100725;0,3278;0,3758;0,8250;0,964
0.1055875;0,3262;0,3473;0,8124;0,942
0.110622917;0,3429;0,2214;0,7561;0,859
0.115782292;0,3843;0,2096;0,7515;0,870
0.120552084;0,3873;0,2510;0,7861;0,912
0.125450521;0,3742;0,2638;0,7859;0,909
0.13031823;0,3579;0,2914;0,7800;0,906
0.135227605;0,3165;0,3252;0,7908;0,912
0.140529167;0,2639;0,3519;0,8355;0,944
0.145283334;0,2458;0,3622;0,8772;0,980
0.150206771;0,2357;0,3759;0,9088;1,011
0.155477084;0,2273;0,3763;0,9235;1,023
0.160316667;0,2360;0,3736;0,9394;1,038
0.165254688;0,2479;0,3679;0,9433;1,042
0.170216667;0,2610;0,3688;0,9442;1,047
0.175526042;0,2770;0,3404;0,9329;1,031
0.180096875;0,3060;0,3226;0,9193;1,021
0.184964063;0,3353;0,3069;0,8982;1,007
0.189991146;0,3726;0,2887;0,8689;0,988
0.195096355;0,3942;0,2712;0,8556;0,980
