time;gFx;gFy;gFz;TgF
0.001828125;0,3855;0,5227;0,8821;1,095
0.002042708;0,4128;0,5202;0,8830;1,105
0.003063021;0,4619;0,4885;0,8797;1,107
0.008051563;0,4726;0,4914;0,9250;1,149
0.01355;0,4762;0,4933;0,9274;1,153
0.018416667;0,4585;0,5061;0,9169;1,143
0.023117708;0,4224;0,5267;0,9068;1,131
0.028389583;0,3966;0,5409;0,8782;1,105
0.033567188;0,3552;0,5483;0,8651;1,084
0.038029688;0,3329;0,5428;0,8579;1,068
0.043480729;0,3071;0,5458;0,8522;1,058
0.048233854;0,2896;0,5339;0,8345;1,032
0.052823958;0,2676;0,5195;0,8376;1,021
0.057642188;0,2418;0,5040;0,8276;0,999
0.063392708;0,2232;0,4991;0,8247;0,990
0.067895833;0,2125;0,4953;0,8393;0,997
0.072883854;0,2050;0,4892;0,8499;1,002
0.077873958;0,1989;0,4861;0,8777;1,023
0.082925521;0,1919;0,4909;0,9116;1,053
0.087460938;0,1891;0,4939;0,9278;1,068
0.093486979;0,1947;0,4887;0,9359;1,074
0.097880208;0,2005;0,4804;0,9331;1,068
0.102483854;0,2086;0,4713;0,9307;1,064
0.107250521;0,2145;0,4604;0,9258;1,056
0.113267708;0,2288;0,4634;0,9298;1,064
0.117391667;0,2300;0,4558;0,9397;1,069
0.122348438;0,2286;0,4409;0,9498;1,072
0.127739063;0,2243;0,4364;0,9572;1,076
0.132590625;0,2095;0,4314;0,9551;1,069
0.13695625;0,1971;0,4254;0,9595;1,068
0.142981771;0,1698;0,4286;0,9618;1,067
0.147523958;0,1424;0,4243;0,9672;1,066
0.152100521;0,1299;0,4079;0,9758;1,066
0.156891667;0,1292;0,4315;0,9784;1,077
0.162579167;0,1358;0,4680;0,9801;1,095
0.167220313;0,1309;0,4406;0,9675;1,071
0.172282292;0,1132;0,4183;0,9725;1,065
0.177176042;0,1014;0,4074;0,9799;1,066
0.182189063;0,0900;0,3773;0,9854;1,059
0.186697917;0,0793;0,3800;0,9948;1,068
0.194268229;0,0551;0,3813;0,9966;1,069
0.197448438;0,0342;0,3734;0,9915;1,060
0.202523438;0,0239;0,3832;0,9911;1,063
0.207355208;0,0135;0,3806;0,9858;1,057
0.212280208;0,0097;0,3738;0,9654;1,035
0.21765;-0,0013;0,3693;0,9426;1,012
0.222010938;-0,0116;0,3669;0,9230;0,993
0.226969792;-0,0027;0,3558;0,9140;0,981
0.232482292;-0,0014;0,2558;0,9334;0,968
0.236219271;0,0392;0,2215;0,9391;0,966
0.241488542;0,0879;0,2247;0,9615;0,991
0.246697917;0,1030;0,2205;0,9650;0,995
0.251496875;0,1353;0,2732;0,9721;1,019
0.25625;0,1365;0,3116;0,9627;1,021
0.261864063;0,1471;0,3544;0,9439;1,019
0.266405208;0,1634;0,3687;0,9448;1,027
0.271170313;0,1672;0,3659;0,9136;0,998
0.276444271;0,2032;0,3759;0,9148;1,010
0.281414063;0,2082;0,3622;0,8807;0,975
0.285969792;0,2074;0,3539;0,8742;0,966
0.290934375;0,2078;0,3654;0,9128;1,005
0.296416146;0,2019;0,3869;0,9074;1,007
0.301190625;0,1579;0,4344;0,9302;1,039
0.305766667;0,1302;0,4348;0,9420;1,046
0.311273438;0,1307;0,3985;0,9357;1,025
0.316190104;0,1600;0,3701;0,9360;1,019
0.320810938;0,2062;0,3388;0,8859;0,971
0.326377083;0,2051;0,3021;0,8400;0,916
0.331182813;0,2062;0,3024;0,8210;0,899
0.336069271;0,1773;0,3033;0,7922;0,867
0.340910417;0,1561;0,3002;0,7751;0,846
0.346026563;0,1464;0,3173;0,7743;0,849
0.350850521;0,1461;0,3326;0,7883;0,868
0.355397917;0,2935;0,2026;0,7761;0,854
0.361601563;0,3002;0,1491;0,7203;0,794
0.365666667;0,2703;0,1911;0,7272;0,799
0.370254167;0,3271;0,2201;0,7542;0,851
0.376020833;0,3012;0,2591;0,7471;0,846
0.380918229;0,2937;0,2961;0,7561;0,863
0.385307292;0,2820;0,3435;0,7556;0,877
0.390170833;0,2993;0,3722;0,7889;0,922
0.395802083;0,2740;0,4364;0,8459;0,990
0.400567708;0,2670;0,4698;0,8487;1,006
0.405254167;0,2336;0,4647;0,8611;1,006
0.410511979;0,1210;0,4539;0,8372;0,960
0.415345313;0,0405;0,3880;0,8353;0,922
0.419900521;0,0515;0,3602;0,9072;0,977
0.426236458;0,0965;0,2920;0,9230;0,973
0.430335417;0,1614;0,2402;0,9962;1,037
0.4348;0,3042;0,2362;1,0471;1,116
0.440620833;0,4000;0,1793;1,0412;1,130
0.445206771;0,4495;0,1950;1,0913;1,196
0.449902083;0,5011;0,2017;1,1103;1,235
0.454670313;0,5708;0,1833;1,0858;1,240
0.460314063;0,5902;0,1312;1,1059;1,260
0.46501875;0,5231;0,0896;1,0830;1,206
0.470896354;0,4798;0,0607;1,0431;1,150
0.474917708;0,4518;0,0179;1,0175;1,113
0.480919271;0,4264;-0,0193;0,9699;1,060
0.486894271;0,4140;-0,0602;0,9268;1,017
0.4897875;0,4081;-0,0972;0,8705;0,966
0.495207292;0,3997;-0,1151;0,8325;0,931
0.499948958;0,3877;-0,1255;0,8047;0,902
0.504454167;0,3794;-0,1261;0,8061;0,900
0.509786458;0,3770;-0,1007;0,8063;0,896
0.514747917;0,3659;-0,0032;0,8259;0,903
0.519147396;0,3392;0,0653;0,8209;0,891
0.524228646;0,3300;0,1100;0,7758;0,850
0.529557292;0,3169;0,1241;0,7113;0,789
0.534101042;0,2880;0,1058;0,6412;0,711
0.539027083;0,2680;0,0615;0,5677;0,631
0.544576042;0,1929;-0,0113;0,4866;0,524
0.549338542;0,0977;-0,0405;0,4151;0,428
0.553931771;0,0621;-0,0584;0,3732;0,383
0.559268229;-0,0432;-0,0308;0,3946;0,398
0.564424479;-0,1523;0,0076;0,3956;0,424
0.568806771;-0,2157;0,0339;0,3762;0,435
0.573729688;-0,2669;0,0662;0,3501;0,445
0.579252604;-0,2831;0,0596;0,3413;0,447
0.583803125;-0,3054;0,0307;0,3414;0,459
0.58863125;-0,3237;-0,0195;0,3370;0,468
0.594361458;-0,3295;-0,0727;0,3436;0,482
0.598845313;-0,3020;-0,1279;0,3398;0,472
0.603704167;-0,2828;-0,1948;0,3345;0,479
0.610040104;-0,2630;-0,2511;0,3475;0,503
0.614272396;-0,2552;-0,2668;0,3695;0,522
0.618777604;-0,2470;-0,2522;0,3856;0,523
0.624193229;-0,2323;-0,2574;0,4245;0,548
0.628947917;-0,2124;-0,2924;0,5055;0,621
0.633469271;-0,1697;-0,3639;0,6230;0,741
0.638243229;-0,0752;-0,3945;0,6786;0,789
0.643748438;0,0149;-0,4148;0,6888;0,804
0.648952604;0,0803;-0,4509;0,6989;0,836
0.653626563;0,1020;-0,4721;0,7110;0,860
0.659206771;0,0873;-0,4955;0,7166;0,876
0.66355625;0,0636;-0,5248;0,7025;0,879
0.668240625;0,0347;-0,5574;0,6877;0,886
0.673252083;0,0322;-0,5937;0,6660;0,893
0.67883125;0,0682;-0,6401;0,6520;0,916
0.683211458;0,1487;-0,6960;0,6341;0,953
0.688282292;0,2653;-0,7502;0,6107;1,003
0.6936125;0,3797;-0,7795;0,5774;1,042
0.698225521;0,4854;-0,8216;0,5280;1,091
0.702896354;0,5859;-0,8646;0,4914;1,154
0.709042708;0,6881;-0,9023;0,4619;1,225
0.713190104;0,8109;-0,9504;0,4397;1,324
0.717714583;0,9728;-0,9777;0,4372;1,447
0.722782813;1,1765;-0,9858;0,4359;1,596
0.728244792;1,1936;-0,8770;0,4436;1,546
0.732927083;1,4504;-0,8888;0,4643;1,763
0.739143229;1,6178;-0,9286;0,4214;1,912
0.744994271;1,6167;-0,8780;0,3514;1,873
0.7495375;1,7416;-0,7805;0,3649;1,943
0.753275;1,7746;-0,7089;0,3493;1,943
0.757863542;1,9328;-0,6842;0,2962;2,072
0.763343229;2,0795;-0,6564;0,2474;2,195
0.767485937;2,1998;-0,6418;0,2115;2,301
0.772440104;2,3129;-0,6071;0,1678;2,397
0.778176562;2,4734;-0,6130;0,1189;2,551
0.782991146;2,5683;-0,5601;0,0925;2,630
0.787933854;2,5899;-0,5313;0,0295;2,644
0.792855208;2,5926;-0,5003;-0,0324;2,641
0.797723437;2,5623;-0,4405;-0,1142;2,602
0.802530208;2,4783;-0,3830;-0,1973;2,515
0.807227083;2,3830;-0,3302;-0,2610;2,420
0.812845833;2,3095;-0,3029;-0,3087;2,350
0.817685937;2,2374;-0,3020;-0,3640;2,287
0.822271875;2,1934;-0,2938;-0,4293;2,254
0.827585417;2,1388;-0,2724;-0,4960;2,212
0.832518229;2,0897;-0,2424;-0,5540;2,175
0.836839062;2,0348;-0,2072;-0,6100;2,134
0.8424875;1,9872;-0,1797;-0,6630;2,103
0.847338021;1,9491;-0,1474;-0,6871;2,072
0.851680729;1,9119;-0,1388;-0,6985;2,040
0.857038021;1,8892;-0,1525;-0,6916;2,018
0.862429167;1,8593;-0,1486;-0,6751;1,984
0.866869792;1,8291;-0,1403;-0,6632;1,951
0.871550521;1,7719;-0,1496;-0,6102;1,880
0.877330208;1,7066;-0,1511;-0,5575;1,802
0.882109375;1,6788;-0,1701;-0,5271;1,768
0.886440625;1,6577;-0,1714;-0,5069;1,742
0.893005208;1,6372;-0,1515;-0,4859;1,714
0.897318229;1,5982;-0,1684;-0,4956;1,682
0.901675;1,5743;-0,1518;-0,4816;1,653
0.906357292;1,5679;-0,1398;-0,4184;1,629
0.91175625;1,5700;-0,1372;-0,4004;1,626
0.9166125;1,5591;-0,1325;-0,3966;1,614
0.921379687;1,5465;-0,1307;-0,4084;1,605
0.926701042;1,5378;-0,1152;-0,4135;1,597
0.932014062;1,5431;-0,0676;-0,4154;1,599
0.936052083;1,5247;-0,0638;-0,4335;1,586
0.942384375;1,5017;-0,1125;-0,4771;1,580
0.946589062;1,4697;-0,1389;-0,5087;1,561
0.950997917;1,4123;-0,1357;-0,5363;1,517
0.955961458;1,3254;-0,1505;-0,5255;1,434
0.961702083;1,2218;-0,1404;-0,5243;1,337
0.966132812;1,2025;-0,1157;-0,5281;1,318
0.97125;1,1758;-0,1368;-0,5377;1,300
0.976305208;1,1362;-0,1692;-0,5517;1,274
0.981146875;1,1676;-0,1595;-0,5580;1,304
0.985710417;1,2733;-0,0979;-0,4898;1,368
0.990688021;1,3229;-0,0249;-0,3534;1,370
0.996290104;1,2929;-0,0629;-0,2789;1,324
1.001351042;1,2642;-0,1303;-0,2463;1,295
1.006042187;1,2349;-0,1200;-0,1512;1,250
1.0110125;1,2103;-0,0931;-0,0479;1,215
1.015828646;1,1123;-0,0594;0,0649;1,116
1.020715104;1,0245;-0,0751;0,1123;1,033
1.025980729;0,9818;-0,0519;0,1080;0,989
1.030842187;0,9429;-0,0432;0,1204;0,952
1.035325;0,9295;-0,0139;0,1095;0,936
1.040459896;0,8671;-0,0037;0,1011;0,873
1.046080208;0,8121;-0,0090;0,1007;0,818
1.050625;0,6332;0,0079;0,2612;0,685
1.055228125;0,1364;-0,0354;0,6203;0,636
1.060973437;-0,8914;-0,1241;1,6112;1,846
1.065693229;-0,9908;-0,3969;1,6887;1,998
1.069956771;-0,4388;-0,5803;0,9308;1,181
1.075410937;-0,2095;-0,6019;0,4332;0,771
1.080704687;-0,0754;-0,4180;0,1270;0,443
1.0851875;-0,0417;-0,2992;-0,2175;0,372
1.089943229;0,0800;-0,2630;-0,3973;0,483
1.095544792;0,1551;-0,1762;-0,3758;0,443
1.100002083;0,3516;-0,1813;-0,2513;0,469
1.105030208;0,4287;-0,1618;0,0957;0,468
1.110864062;0,5783;-0,1535;0,2299;0,641
1.115218229;0,6377;-0,1814;0,2806;0,720
1.119802083;0,5890;-0,0822;0,2647;0,651
1.125469792;0,5784;-0,0796;0,2445;0,633
1.130075521;0,5216;-0,1447;0,1409;0,559
1.134641146;0,6233;-0,1627;0,0797;0,649
1.13956875;0,6337;-0,1988;-0,0289;0,665
1.14536875;0,5496;-0,1595;-0,1315;0,587
1.149560937;0,4781;-0,1728;-0,2639;0,573
1.154459375;0,5112;-0,1827;-0,2596;0,602
1.161295833;0,5635;-0,2362;-0,2391;0,656
1.164913021;0,5453;-0,2738;-0,2607;0,663
1.169270833;0,5709;-0,3285;-0,3281;0,736
1.176225;0,5684;-0,3875;-0,3534;0,773
1.180008333;0,5149;-0,4508;-0,3825;0,784
1.184714583;0,4725;-0,5149;-0,4341;0,823
1.189355729;0,5164;-0,5647;-0,4520;0,889
1.194700521;0,5768;-0,6034;-0,4353;0,941
1.199357812;0,6485;-0,6557;-0,3394;0,983
1.204432812;0,7664;-0,7376;-0,2056;1,083
1.209527083;0,8087;-0,6797;0,0140;1,057
1.214449479;0,9278;-0,6575;0,1794;1,151
1.218905729;1,0672;-0,6557;0,3486;1,300
1.224102604;1,0425;-0,5519;0,6262;1,336
1.229463021;1,0781;-0,5587;0,5045;1,315
1.233922396;1,2112;-0,7797;0,3784;1,489
1.238775521;1,1435;-0,6831;0,3912;1,388
1.244916667;1,0781;-0,6107;0,2807;1,270
1.248914583;1,0482;-0,6289;0,2531;1,248
1.254617187;0,8108;-0,4632;0,1835;0,952
1.260425;0,6143;-0,4586;0,1579;0,783
1.264216146;0,4580;-0,4151;0,1383;0,633
1.269004687;0,3488;-0,4001;0,0945;0,539
1.273715104;0,2521;-0,4326;0,0346;0,502
1.279380729;0,2057;-0,5400;-0,0136;0,578
1.283679167;0,2575;-0,6592;-0,0813;0,712
1.288455208;0,3342;-0,7766;-0,1795;0,864
1.293946354;0,3928;-0,9166;-0,2653;1,032
1.298711458;0,4171;-1,0560;-0,3219;1,180
1.303411458;0,4321;-1,1783;-0,3972;1,316
1.310016146;0,4313;-1,2664;-0,4110;1,400
1.313838021;0,3606;-1,2939;-0,3769;1,395
1.318507292;0,3129;-1,2559;-0,3448;1,339
1.323301042;0,2105;-1,1176;-0,2695;1,169
1.328763542;0,1198;-0,9797;-0,1679;1,001
1.333440625;0,0933;-0,9091;-0,1661;0,929
1.338074479;0,0640;-0,8667;-0,1450;0,881
1.344304167;0,0520;-0,8792;-0,0946;0,886
1.34835;-0,0042;-0,9079;-0,0277;0,908
1.353278125;-0,0009;-1,0383;0,0240;1,039
1.358404167;-0,0696;-0,9599;0,0290;0,963
1.363442708;-0,0560;-0,9090;0,0284;0,911
1.367883333;-0,0182;-0,8978;0,0569;0,900
1.372870833;-0,0289;-0,8074;0,0914;0,813
1.378434375;0,0698;-0,7838;0,0264;0,787
1.383296354;0,0971;-0,7744;-0,0513;0,782
1.387682292;0,0391;-0,7611;-0,0924;0,768
1.393167187;0,0657;-0,6843;-0,0575;0,690
1.397982292;0,1190;-0,6871;-0,0122;0,697
1.402720833;0,3020;-0,9539;-0,0959;1,005
1.408477083;0,4082;-1,3167;-0,0544;1,380
1.413032812;0,2059;-1,6711;-0,1403;1,690
1.417986979;0,0930;-2,3272;-0,1779;2,336
1.422586458;-0,0171;-2,9685;-0,1447;2,972
1.428275;-0,1075;-3,4581;-0,3270;3,475
1.432894792;-0,0662;-3,8093;-0,5927;3,856
1.437505729;0,1302;-3,9501;-0,8204;4,036
1.443382292;0,3345;-3,6128;-0,8475;3,726
1.448370833;0,4856;-3,2033;-0,9247;3,369
1.452422396;0,5203;-3,0107;-0,9247;3,192
1.457245833;0,4472;-2,9134;-0,8575;3,070
1.463151562;0,2761;-2,7151;-0,6893;2,815
1.467589583;-0,0128;-2,3265;-0,4556;2,371
1.472151042;-0,3875;-1,9188;-0,1253;1,962
1.477772396;-0,7337;-1,5494;0,0512;1,715
1.482442187;-1,0032;-1,3358;0,1452;1,677
1.487;-1,0966;-1,1780;0,2776;1,633
1.492577604;-1,0788;-1,0613;0,3121;1,545
1.497361979;-1,0373;-0,9635;0,3447;1,457
1.502126042;-0,9041;-0,8716;0,3342;1,299
1.506879167;-0,7943;-0,8191;0,2830;1,176
1.512421875;-0,6687;-0,7928;0,2089;1,058
1.517028125;-0,5682;-0,7622;0,1525;0,963
1.521953125;-0,4758;-0,7597;0,1054;0,903
1.527828646;-0,4116;-0,7573;0,0882;0,866
1.531985417;-0,3441;-0,7666;0,0822;0,844
1.536482812;-0,3128;-0,7785;0,0929;0,844
1.542009896;-0,3269;-0,7803;0,0781;0,850
1.546997917;-0,3144;-0,7793;0,0827;0,844
1.552013021;-0,3332;-0,7848;0,0443;0,854
1.556495312;-0,3598;-0,7983;0,0116;0,876
1.562142708;-0,3613;-0,8087;0,0074;0,886
1.566515625;-0,3755;-0,8020;-0,0051;0,886
1.571340625;-0,4120;-0,7816;-0,0138;0,884
1.576871875;-0,4511;-0,7562;-0,0398;0,881
1.581698958;-0,4489;-0,7345;-0,0207;0,861
1.586135417;-0,4437;-0,7069;-0,0275;0,835
1.593054167;-0,4374;-0,6693;-0,0656;0,802
1.597278125;-0,3872;-0,6269;-0,1444;0,751
1.601615625;-0,2633;-0,6006;-0,3369;0,737
1.606160937;-0,1773;-0,5957;-0,5553;0,833
1.61158125;-0,1257;-0,6830;-0,8511;1,098
1.616743229;-0,0422;-0,7210;-1,0569;1,280
1.621197917;0,0017;-0,7193;-1,1225;1,333
1.626411458;-0,0972;-0,8102;-1,1521;1,412
1.631414062;-0,3227;-0,9469;-1,0247;1,432
1.6361125;-0,4883;-1,0316;-0,7818;1,383
