time,gFx,gFy,gFz,TgF
0.002463615,-0.2934,0.2289,0.6523,0.751
0.002709961,-0.2998,0.2609,0.6934,0.799
0.002846769,-0.2983,0.2922,0.7388,0.849
0.004206307,-0.2897,0.3227,0.7835,0.896
0.005020461,-0.2829,0.3379,0.8043,0.917
0.007023692,-0.266,0.3645,0.8446,0.958
0.009090769,-0.2568,0.3762,0.8627,0.976
0.011052615,-0.2394,0.3914,0.8935,1.004
0.013250153,-0.2211,0.3958,0.9162,1.022
0.015740807,-0.2123,0.3963,0.925,1.028
0.017053461,-0.1954,0.3909,0.9396,1.036
0.019043038,-0.1867,0.3831,0.947,1.038
0.020956076,-0.1673,0.3679,0.9624,1.044
0.023736461,-0.1441,0.352,0.9843,1.055
0.024972192,-0.1319,0.343,0.998,1.064
0.026944269,-0.1085,0.3247,1.0303,1.086
0.030307115,-0.0843,0.309,1.0716,1.118
0.031853423,-0.0704,0.3029,1.0931,1.136
0.033167999,-0.0445,0.2929,1.1405,1.178
0.035625576,-0.0237,0.2878,1.1641,1.199
0.037571769,-0.0129,0.2778,1.2089,1.24
0.039603192,0.0042,0.2704,1.2489,1.278
0.041097923,0.01,0.2663,1.2665,1.294
0.044529307,0.0208,0.2555,1.3032,1.328
0.046935653,0.0215,0.2521,1.3117,1.336
0.048529192,0.0217,0.2489,1.3178,1.341
0.049622038,0.0181,0.2448,1.3222,1.345
0.051671807,0.009,0.2421,1.3188,1.341
0.053550192,0.0042,0.2419,1.3132,1.335
0.055473346,-0.0076,0.2397,1.2988,1.321
0.057311769,-0.0191,0.2394,1.2885,1.311
0.05889623,-0.0264,0.2414,1.2616,1.285
0.061316615,-0.0401,0.2433,1.2304,1.255
0.065204692,-0.0513,0.245,1.1935,1.219
0.065723692,-0.0584,0.2463,1.1734,1.2
0.067717499,-0.0706,0.2482,1.1343,1.163
0.069107615,-0.0765,0.2504,1.1143,1.145
0.070979923,-0.0887,0.2521,1.0791,1.112
0.073375846,-0.0985,0.256,1.0466,1.082
