time,gFx,gFy,gFz,TgF
0.002417038,-0.1893,0.2411,0.622,0.693
0.002652461,-0.1747,0.2551,0.6374,0.708
0.0036715,-0.1669,0.2614,0.646,0.717
0.005764846,-0.1498,0.2778,0.6677,0.739
0.007899154,-0.1346,0.2978,0.6904,0.764
0.012699884,-0.0975,0.3391,0.7361,0.816
0.012846384,-0.0975,0.3391,0.7361,0.816
0.013555615,-0.0862,0.3498,0.7486,0.831
0.016572731,-0.0752,0.3606,0.7623,0.847
0.017805769,-0.0503,0.3833,0.7899,0.879
0.019621308,-0.021,0.3955,0.8038,0.896
0.021445,-0.0073,0.4202,0.8314,0.932
0.027018308,0.0215,0.4434,0.858,0.966
0.027409538,0.0349,0.4532,0.8707,0.982
0.027610692,0.0603,0.472,0.8915,1.011
0.041816769,0.0985,0.5048,0.9325,1.065
0.042050577,0.0985,0.5048,0.9325,1.065
0.042127615,0.1043,0.5097,0.9421,1.076
0.042210038,0.1138,0.5182,0.9558,1.093
0.042290654,0.1182,0.5197,0.9592,1.097
0.042371961,0.1214,0.5182,0.9621,1.1
0.042448384,0.1195,0.5153,0.9606,1.097
0.048520692,0.1158,0.5057,0.9526,1.085
0.048947423,0.1075,0.4903,0.9409,1.066
0.049183769,0.1002,0.4813,0.935,1.056
0.052925923,0.0559,0.4446,0.9025,1.008
0.053088038,0.042,0.4349,0.8925,0.994
0.053570346,0.042,0.4349,0.8925,0.994
0.055481077,0.0139,0.4175,0.8712,0.966
0.057520731,-0.0127,0.3953,0.8497,0.937
0.059432577,-0.0222,0.3765,0.8351,0.916
0.061366884,-0.001,0.28,0.764,0.814
0.063395308,0.0125,0.2543,0.7498,0.792
0.066481692,0.0147,0.2265,0.7232,0.758
0.067513692,0.0107,0.2133,0.7022,0.734
0.072498577,-0.0276,0.2086,0.6956,0.727
0.072633654,-0.0276,0.2086,0.6956,0.727
0.073288923,-0.0335,0.2113,0.6885,0.721
0.075450231,-0.0352,0.2135,0.6775,0.711
0.077439192,-0.0288,0.2201,0.6575,0.694
0.079538654,-0.012,0.2316,0.647,0.687
0.082290692,-0.0007,0.2392,0.6452,0.688
0.083837807,0.0203,0.257,0.6504,0.7
0.085740538,0.0423,0.2663,0.6567,0.71
0.087829307,0.052,0.2875,0.6748,0.735
0.093166307,0.0853,0.3376,0.7266,0.806
0.093435654,0.0853,0.3376,0.7266,0.806
0.093959115,0.0926,0.3511,0.7425,0.826
0.095501923,0.1053,0.3762,0.7757,0.869
0.098008346,0.1156,0.4007,0.8106,0.912
0.099445692,0.1192,0.4102,0.8285,0.932
0.101391077,0.1207,0.4266,0.8659,0.973
0.103407346,0.12,0.4324,0.8859,0.993
0.105427423,0.1146,0.441,0.9277,1.034
0.107356615,0.1058,0.4437,0.9494,1.053
0.112598807,0.0794,0.4481,1.073,1.166
0.112697038,0.0794,0.4481,1.073,1.166
0.113901538,0.0794,0.4481,1.073,1.166
0.116595038,0.0677,0.4332,1.1146,1.198
0.117635346,0.0491,0.3433,1.0843,1.138
0.119512269,0.0457,0.2866,1.0569,1.096
0.121413,0.0589,0.2419,1.0667,1.095
0.123848115,0.0706,0.2292,1.1033,1.129
0.125470307,0.0762,0.2284,1.1214,1.147
0.127403154,0.0858,0.2248,1.1451,1.17
0.133978615,0.0967,0.2055,1.1685,1.19
0.134438577,0.0967,0.2055,1.1685,1.19
0.134663884,0.1002,0.1994,1.169,1.19
0.135721461,0.1043,0.1957,1.1671,1.188
0.137840231,0.1195,0.1906,1.1573,1.179
0.139618577,0.1412,0.1871,1.1439,1.168
0.142525961,0.1451,0.1813,1.1424,1.166
0.143863769,0.1542,0.1708,1.1356,1.159
0.146294731,0.1859,0.1857,1.1175,1.148
0.149685461,0.2055,0.1976,1.1031,1.139
0.153027846,0.2372,0.1957,1.1114,1.153
0.153604731,0.2372,0.1957,1.1114,1.153
0.153745346,0.2419,0.1954,1.1187,1.161
0.155735269,0.2533,0.1957,1.1236,1.168
0.159329423,0.2604,0.1942,1.1204,1.167
0.159779269,0.2748,0.1898,1.106,1.155
