time,gFx,gFy,gFz,TgF
0.0040425,-0.0716,0.2624,0.8952,0.936
0.004314692,-0.1009,0.2294,0.8788,0.914
0.004441577,-0.1009,0.2294,0.8788,0.914
0.004569769,-0.108,0.2257,0.8778,0.913
0.005321731,-0.1151,0.2243,0.8768,0.912
0.007317731,-0.13,0.2253,0.871,0.909
0.010381692,-0.1437,0.2311,0.8649,0.907
0.012336115,-0.1505,0.2358,0.8597,0.904
0.013286231,-0.1559,0.2426,0.849,0.897
0.015231577,-0.1175,0.2448,0.8001,0.845
0.017266923,-0.0987,0.2467,0.7703,0.815
0.022461423,-0.1053,0.2521,0.7703,0.817
0.022628,-0.1053,0.2521,0.7703,0.817
0.023252577,-0.117,0.2524,0.7791,0.827
0.033326923,-0.1461,0.2509,0.7928,0.844
0.033688731,-0.1625,0.2504,0.7992,0.853
0.033867615,-0.1967,0.248,0.8109,0.87
0.034033077,-0.2223,0.2463,0.8236,0.888
0.034198923,-0.2328,0.2467,0.8309,0.898
0.035303654,-0.2426,0.2477,0.8402,0.909
0.037742269,-0.2274,0.2411,0.8043,0.87
0.043955038,-0.2165,0.2521,0.869,0.93
0.044160808,-0.2165,0.2521,0.869,0.93
0.046237308,-0.2165,0.2521,0.869,0.93
0.046359692,-0.206,0.2653,0.9108,0.971
0.047485423,-0.1825,0.2756,0.9206,0.978
0.049263385,-0.1678,0.2795,0.9216,0.978
0.051435308,-0.1393,0.2885,0.9343,0.988
0.053116962,-0.1092,0.2961,0.9531,1.004
0.055215115,-0.095,0.2993,0.9602,1.01
0.057264692,-0.0633,0.3017,0.9726,1.02
0.063171346,-0.0005,0.3042,0.9946,1.04
0.063674692,-0.0005,0.3042,0.9946,1.04
0.063868461,0.0137,0.3037,0.997,1.042
0.065687769,0.0264,0.3025,0.9978,1.043
0.0672655,0.0513,0.2959,0.9963,1.041
0.069063615,0.0765,0.2888,0.9882,1.032
0.071144692,0.0858,0.2839,0.9863,1.03
0.077421885,0.097,0.2736,0.9817,1.024
0.078134577,0.1031,0.2621,0.9817,1.021
0.078270115,0.106,0.2553,0.9821,1.02
0.083027961,0.0928,0.2336,0.9941,1.025
0.083225077,0.0928,0.2336,0.9941,1.025
0.083360192,0.087,0.2284,0.9953,1.025
0.087592961,0.0752,0.2184,0.9968,1.023
0.087986461,0.0691,0.215,0.9951,1.02
0.090431038,0.0555,0.2072,0.9914,1.014
0.091150038,0.0474,0.1935,0.9868,1.007
0.093987577,0.044,0.1869,0.9865,1.005
0.095812192,0.0435,0.1779,0.988,1.005
0.097849,0.0493,0.1735,0.9897,1.006
0.102965923,0.0816,0.171,0.9907,1.009
0.103174,0.0816,0.171,0.9907,1.009
0.103309654,0.0816,0.171,0.9907,1.009
0.105392654,0.1065,0.1703,0.9812,1.002
0.107334154,0.1331,0.1691,0.9609,0.985
0.110208731,0.1471,0.1686,0.9479,0.974
0.112205269,0.1727,0.1698,0.9252,0.956
0.113153269,0.1952,0.1725,0.9118,0.948
0.116106038,0.2055,0.172,0.9128,0.951
0.117415423,0.2194,0.1691,0.9301,0.97
0.1222965,0.236,0.1688,0.956,0.999
0.122470769,0.236,0.1688,0.956,0.999
0.123066769,0.2411,0.1708,0.9589,1.003
0.125784731,0.246,0.1742,0.9636,1.01
0.128619731,0.2595,0.1815,0.9668,1.017
0.129902961,0.2785,0.1903,0.9587,1.016
0.131799308,0.2885,0.1928,0.9526,1.014
0.133839615,0.3115,0.1979,0.9282,0.999
0.135117346,0.333,0.2013,0.8998,0.98
0.137195308,0.3445,0.203,0.8815,0.968
0.143518615,0.3833,0.2042,0.7916,0.903
0.144251115,0.3862,0.1998,0.7801,0.893
0.144489846,0.3862,0.1998,0.7801,0.893
0.146352346,0.3975,0.1984,0.7728,0.891
0.147408577,0.4041,0.2013,0.7676,0.891
0.149191192,0.4126,0.2106,0.7652,0.895
0.151621961,0.417,0.2226,0.7916,0.922
0.153076538,0.4178,0.2282,0.8138,0.943
0.155436192,0.4131,0.2323,0.8673,0.988
0.157136846,0.4026,0.2355,0.9145,1.027
0.163528308,0.3716,0.2406,0.958,1.055
0.164116961,0.3716,0.2406,0.958,1.055
0.164531385,0.3716,0.2406,0.958,1.055
0.166007961,0.3635,0.2431,0.9621,1.057
0.167247423,0.3626,0.2482,0.9572,1.053
0.169393692,0.3655,0.2511,0.9509,1.049
0.171461115,0.3772,0.2595,0.9335,1.04
0.173265846,0.3958,0.2729,0.9186,1.037
0.175255731,0.4014,0.2788,0.915,1.037
0.177734961,0.4068,0.2873,0.9125,1.04
0.182518346,0.4029,0.2968,0.8827,1.015
0.182707808,0.4029,0.2968,0.8827,1.015
0.182990077,0.4004,0.2968,0.8732,1.005
0.186954692,0.4007,0.2959,0.8641,0.997
0.187292692,0.4082,0.2971,0.8448,0.984
0.189763769,0.4226,0.3012,0.8226,0.973
0.191140654,0.4344,0.3046,0.8158,0.973
0.194512154,0.4681,0.3149,0.8092,0.986
0.196009308,0.5026,0.3296,0.805,1.005
0.197424115,0.5192,0.3386,0.8026,1.014
0.202292461,0.5512,0.3665,0.8114,1.047
0.202414769,0.5512,0.3665,0.8114,1.047
0.203021538,0.5431,0.3643,0.8238,1.052
0.205134115,0.5167,0.352,0.8517,1.057
0.207194231,0.5016,0.345,0.8607,1.054
0.209120769,0.4742,0.332,0.8607,1.037
0.211806538,0.4576,0.3193,0.8419,1.01
0.213498884,0.4505,0.3147,0.8277,0.994
0.215508423,0.4483,0.3076,0.794,0.962
0.217255077,0.4515,0.3044,0.7574,0.933
0.222555346,0.4867,0.3078,0.7,0.906
0.222804961,0.4867,0.3078,0.7,0.906
0.223477884,0.4957,0.3078,0.7,0.911
0.225540808,0.5043,0.3076,0.6782,0.899
0.227314654,0.5126,0.3081,0.6587,0.89
0.2295725,0.5158,0.3103,0.6511,0.887
0.231783846,0.5224,0.3164,0.6367,0.882
0.233310231,0.5282,0.3191,0.6223,0.876
0.235179154,0.5309,0.3218,0.6179,0.876
0.237298192,0.538,0.3266,0.6157,0.88
0.244203231,0.5321,0.3364,0.6118,0.878
0.244570461,0.5321,0.3364,0.6118,0.878
0.244794038,0.5336,0.3398,0.6047,0.875
0.245901961,0.5368,0.3442,0.5983,0.874
0.247605808,0.5443,0.3523,0.5983,0.882
0.2496325,0.5531,0.3638,0.6,0.894
0.251554923,0.558,0.3701,0.6032,0.901
0.253368731,0.5668,0.3814,0.6147,0.919
0.255751,0.5763,0.3919,0.625,0.936
0.257841077,0.5822,0.3953,0.6299,0.944
0.263525577,0.5939,0.4136,0.6452,0.97
0.263723269,0.5939,0.4136,0.6452,0.97
0.263838,0.5974,0.4165,0.644,0.972
0.265993077,0.602,0.4234,0.635,0.972
0.267709231,0.6037,0.4263,0.6318,0.972
0.269927654,0.6027,0.4297,0.6291,0.971
0.271393692,0.5942,0.4346,0.6816,1.003
0.273114269,0.5842,0.4349,0.7293,1.031
0.275051884,0.5595,0.4322,0.818,1.081
0.278024,0.5392,0.4251,0.7943,1.05
0.282454577,0.518,0.4046,0.6318,0.912
0.282639154,0.518,0.4046,0.6318,0.912
0.283294961,0.518,0.4046,0.6318,0.912
0.286071154,0.4974,0.3731,0.6548,0.903
0.287599615,0.4703,0.3364,0.71,0.916
0.289865538,0.4571,0.3183,0.7339,0.921
0.291692192,0.4314,0.2885,0.7522,0.914
0.294886923,0.4192,0.2861,0.7293,0.889
0.296590231,0.4165,0.2934,0.71,0.874
0.297427307,0.4082,0.3115,0.6782,0.851
0.302630692,0.3638,0.334,0.7039,0.86
0.302812884,0.3638,0.334,0.7039,0.86
0.303575038,0.344,0.3301,0.7242,0.867
