time,gFx,gFy,gFz,TgF
0.003361153,-0.0865,0.2941,0.4551,0.549
0.003655038,-0.0926,0.3039,0.4569,0.556
0.003793115,-0.1038,0.3205,0.4639,0.573
0.003936769,-0.1637,0.3066,0.4808,0.593
0.00530273,-0.2038,0.2949,0.5062,0.62
0.007373961,-0.2272,0.3174,0.5397,0.666
0.00932223,-0.2138,0.3621,0.5465,0.69
0.011814192,-0.202,0.3862,0.5468,0.699
0.016496192,-0.1769,0.4285,0.5475,0.717
0.01671323,-0.1532,0.463,0.5617,0.744
0.018075423,-0.1424,0.4784,0.5732,0.76
0.020144538,-0.1273,0.4996,0.6084,0.797
0.021952807,-0.1219,0.5065,0.6316,0.819
0.02338973,-0.1124,0.5143,0.6812,0.861
0.026041384,-0.1097,0.5165,0.7288,0.9
0.027694,-0.1073,0.518,0.7522,0.92
0.029346038,-0.0992,0.5224,0.7935,0.955
0.032437961,-0.0836,0.5265,0.8221,0.98
0.034018615,-0.0735,0.5282,0.8314,0.988
0.0364985,-0.0491,0.5314,0.8475,1.002
0.038397153,-0.0362,0.5334,0.8551,1.008
0.03939223,-0.0125,0.5387,0.8754,1.028
0.041350346,0.0093,0.5429,0.9003,1.051
0.043246807,0.0186,0.5434,0.9132,1.063
0.045309577,0.0349,0.5434,0.9406,1.087
0.049049615,0.0496,0.5402,0.9523,1.096
0.050875077,0.0559,0.5375,0.9521,1.095
0.0519305,0.0633,0.5282,0.9553,1.093
0.053878961,0.0684,0.5209,0.9631,1.097
0.056937923,0.073,0.5121,0.9751,1.104
0.057317884,0.0735,0.5092,0.9817,1.108
0.060064038,0.0728,0.5067,0.9882,1.113
0.061795538,0.0708,0.5021,1.0002,1.121
0.067006269,0.0667,0.4974,1.0115,1.129
0.06786673,0.064,0.4947,1.0144,1.13
0.068312423,0.0603,0.4913,1.0188,1.133
0.070481,0.0523,0.4871,1.0198,1.131
0.072483038,0.0479,0.4852,1.0185,1.129
0.073926192,0.0371,0.481,1.0156,1.124
0.076483577,0.0242,0.4764,1.0107,1.118
0.078010615,0.0171,0.4752,1.0075,1.114
0.080032538,0.0027,0.4725,1.0019,1.108
0.083323384,-0.0066,0.4722,0.9995,1.105
0.08364,-0.0237,0.47,0.9951,1.101
0.085856423,-0.0403,0.4666,0.9895,1.095
0.088425807,-0.0496,0.4649,0.987,1.092
0.090062423,-0.0674,0.4634,0.9831,1.089
0.091448807,-0.0848,0.4617,0.9804,1.087
0.0932385,-0.0919,0.461,0.9787,1.086
0.096063307,-0.1138,0.4566,0.9743,1.082
0.09817823,-0.1182,0.4566,0.9746,1.083
0.100584269,-0.1244,0.4569,0.9758,1.085
0.102083807,-0.1383,0.4593,0.979,1.09
0.103866076,-0.1441,0.4603,0.9819,1.094
0.105527038,-0.1485,0.4576,0.9868,1.098
0.107648961,-0.152,0.4564,0.9892,1.1
0.109582269,-0.1542,0.4559,0.9895,1.1
0.1113275,-0.1561,0.4542,0.9892,1.1
0.113352038,-0.1554,0.4495,0.9895,1.098
0.117839961,-0.1556,0.4483,0.9892,1.097
0.118332846,-0.1534,0.4481,0.9892,1.097
0.119769692,-0.1478,0.4466,0.9897,1.096
0.121926923,-0.1459,0.4461,0.9897,1.095
0.123834384,-0.1454,0.4459,0.9897,1.095
