time,gFx,gFy,gFz,gFTotal
0.0076961517333984375,0.043,-0.539,-0.915,1.063
0.0174710750579834,-0.044,-0.475,-0.646,0.803
0.029455184936523438,-0.113,-0.425,-0.404,0.597
0.04508805274963379,-0.077,-0.402,-0.344,0.535
0.047792911529541016,-0.107,-0.411,-0.464,0.629
0.057958126068115234,-0.214,-0.429,-0.566,0.742
0.06999707221984863,-0.269,-0.467,-0.644,0.84
0.08198404312133789,-0.294,-0.501,-0.747,0.946
0.09494495391845703,-0.337,-0.511,-0.858,1.054
0.09887313842773438,-0.293,-0.444,-0.904,1.049
0.10766410827636719,-0.236,-0.324,-0.875,0.962
0.11733698844909668,-0.244,-0.229,-0.832,0.897
0.12800121307373047,-0.229,-0.195,-0.841,0.893
0.13721299171447754,-0.183,-0.183,-0.869,0.907
0.14807415008544922,-0.168,-0.202,-0.909,0.946
0.16070795059204102,-0.162,-0.255,-0.935,0.983
0.17046904563903809,-0.131,-0.319,-0.921,0.983
0.17795801162719727,-0.102,-0.375,-0.909,0.989
0.19801807403564453,-0.069,-0.429,-1.005,1.095
0.20017004013061523,-0.069,-0.429,-1.005,1.095
0.20701217651367188,-0.049,-0.515,-1.127,1.24
0.21706199645996094,-0.029,-0.542,-1.181,1.3
0.22795605659484863,-0.04,-0.527,-1.167,1.281
0.23774003982543945,-0.037,-0.489,-1.097,1.202
0.24990320205688477,-0.029,-0.414,-0.986,1.07
0.2570459842681885,-0.05,-0.341,-0.858,0.925
0.27324604988098145,-0.092,-0.328,-0.762,0.835
0.2785921096801758,-0.131,-0.34,-0.712,0.8
0.30059003829956055,-0.229,-0.346,-0.81,0.91
0.3027939796447754,-0.229,-0.346,-0.81,0.91
0.30660390853881836,-0.265,-0.324,-0.874,0.969
0.31654787063598633,-0.282,-0.33,-0.916,1.014
0.3274521827697754,-0.3,-0.319,-0.972,1.066
0.3362278938293457,-0.313,-0.307,-1.028,1.118
0.34937500953674316,-0.294,-0.292,-1.039,1.119
0.3565549850463867,-0.262,-0.282,-1.006,1.077
0.3721351623535156,-0.237,-0.299,-0.966,1.039
0.37800002098083496,-0.225,-0.335,-0.918,1.003
0.3942079544067383,-0.236,-0.384,-0.87,0.98
0.39750099182128906,-0.253,-0.403,-0.857,0.98
0.4058380126953125,-0.267,-0.403,-0.881,1.005
0.41624999046325684,-0.276,-0.406,-0.928,1.05
0.42714905738830566,-0.264,-0.396,-0.987,1.096
0.4362349510192871,-0.229,-0.358,-1.027,1.111
0.44658708572387695,-0.178,-0.31,-1.034,1.094
0.4605369567871094,-0.122,-0.271,-0.989,1.033
0.46685099601745605,-0.079,-0.24,-0.913,0.947
0.4815859794616699,-0.052,-0.223,-0.818,0.849
