time,gFx,gFy,gFz,gFTotal
0.012874841690063477,-0.058,-0.728,-0.691,1.005
0.016839981079101562,-0.073,-0.698,-0.712,1.0
0.02478194236755371,-0.085,-0.686,-0.77,1.035
0.0348968505859375,-0.076,-0.704,-0.815,1.08
0.04628181457519531,-0.05,-0.713,-0.846,1.108
0.05536484718322754,-0.009,-0.697,-0.837,1.089
0.06646990776062012,0.041,-0.694,-0.793,1.055
0.07521295547485352,0.086,-0.691,-0.74,1.016
0.08577203750610352,0.125,-0.667,-0.725,0.993
0.095855712890625,0.161,-0.634,-0.738,0.986
0.11592888832092285,0.227,-0.627,-0.733,0.991
0.1182088851928711,0.227,-0.627,-0.733,0.991
0.12456703186035156,0.233,-0.673,-0.772,1.05
0.1347670555114746,0.254,-0.711,-0.8,1.1
0.14565801620483398,0.248,-0.736,-0.744,1.076
0.15661382675170898,0.238,-0.729,-0.736,1.063
0.16642999649047852,0.21,-0.724,-0.784,1.088
0.1748828887939453,0.208,-0.692,-0.83,1.1
0.18970990180969238,0.255,-0.662,-0.744,1.028
0.19405698776245117,0.214,-0.683,-0.687,0.992
0.21711492538452148,0.109,-0.612,-0.83,1.037
0.21909570693969727,0.109,-0.612,-0.83,1.037
0.2241220474243164,0.141,-0.564,-0.852,1.031
0.23408079147338867,0.215,-0.525,-0.826,1.002
0.24524879455566406,0.25,-0.513,-0.753,0.945
0.25540971755981445,0.237,-0.53,-0.809,0.996
0.2648348808288574,0.219,-0.52,-0.778,0.961
0.2768440246582031,0.186,-0.49,-0.686,0.863
0.2845940589904785,0.093,-0.522,-0.726,0.899
0.2979888916015625,0.029,-0.549,-0.778,0.953
0.313169002532959,-0.084,-0.563,-0.781,0.966
0.31619787216186523,-0.084,-0.563,-0.781,0.966
0.32380199432373047,-0.154,-0.537,-0.831,1.001
0.33392882347106934,-0.099,-0.483,-0.773,0.917
0.3508329391479492,-0.116,-0.459,-0.825,0.951
0.3546919822692871,-0.186,-0.469,-0.897,1.029
0.3641657829284668,-0.174,-0.44,-0.907,1.023
0.3747248649597168,-0.218,-0.539,-0.858,1.036
0.3847508430480957,-0.338,-0.803,-0.859,1.223
0.3973569869995117,-0.326,-1.058,-0.917,1.438
0.4126310348510742,-0.317,-1.727,-0.827,1.941
0.41565585136413574,-0.317,-1.727,-0.827,1.941
0.4234180450439453,-0.082,-1.339,-0.848,1.587
0.43350982666015625,0.05,-0.703,-0.931,1.168
0.4460277557373047,0.113,-0.463,-0.677,0.828
0.454150915145874,0.241,-0.456,-0.5,0.718
0.4657888412475586,0.431,-0.602,-0.54,0.916
0.4781768321990967,0.547,-0.803,-0.662,1.176
0.48384571075439453,0.598,-0.833,-0.776,1.286
0.49811387062072754,0.632,-0.704,-0.88,1.292
0.509537935256958,0.641,-0.581,-0.906,1.253
0.5133328437805176,0.627,-0.514,-0.821,1.154
0.5231800079345703,0.589,-0.491,-0.717,1.05
0.5329358577728271,0.567,-0.427,-0.665,0.973
0.5440487861633301,0.532,-0.287,-0.706,0.929
0.5536439418792725,0.408,-0.211,-0.745,0.875
0.5636448860168457,0.263,-0.23,-0.784,0.858
0.5737779140472412,0.172,-0.235,-0.791,0.843
0.5837788581848145,0.106,-0.227,-0.751,0.792
0.5944089889526367,0.042,-0.205,-0.672,0.704
0.6137690544128418,-0.023,-0.104,-0.696,0.704
0.6154427528381348,-0.023,-0.104,-0.696,0.704
0.622722864151001,-0.039,-0.12,-0.775,0.785
0.6326239109039307,-0.025,-0.186,-0.803,0.825
0.6435708999633789,-0.023,-0.328,-0.779,0.846
