time,gFx,gFy,gFz,gFTotal
0.0014019012451171875,0.198,-0.31,-1.045,1.108
0.0015709400177001953,0.198,-0.31,-1.045,1.108
0.0017061233520507812,0.198,-0.31,-1.045,1.108
0.008533954620361328,0.187,-0.3,-1.033,1.092
0.01853489875793457,0.172,-0.302,-1.022,1.079
0.028528928756713867,0.158,-0.302,-0.988,1.045
0.04020500183105469,0.145,-0.298,-0.933,0.99
0.04974985122680664,0.14,-0.288,-0.914,0.968
0.05978584289550781,0.144,-0.271,-0.941,0.99
0.0699911117553711,0.159,-0.257,-0.972,1.018
0.09648704528808594,0.157,-0.241,-0.952,0.995
0.09664106369018555,0.157,-0.241,-0.952,0.995
0.09801101684570312,0.147,-0.222,-0.943,0.98
0.10824298858642578,0.144,-0.238,-0.924,0.965
0.11799478530883789,0.128,-0.269,-0.924,0.971
0.1296401023864746,0.109,-0.292,-0.937,0.987
0.1396009922027588,0.099,-0.274,-0.94,0.984
0.14915704727172852,0.079,-0.226,-0.975,1.004
0.1596851348876953,0.053,-0.197,-0.988,1.009
0.17001008987426758,0.037,-0.19,-0.968,0.987
0.2022380828857422,0.035,-0.23,-1.004,1.031
0.20238399505615234,0.035,-0.23,-1.004,1.031
0.2025160789489746,0.035,-0.23,-1.004,1.031
0.2077319622039795,0.011,-0.228,-0.984,1.01
0.2176198959350586,-0.001,-0.221,-0.956,0.981
0.22939586639404297,-0.002,-0.228,-0.933,0.96
0.23897600173950195,-0.002,-0.236,-0.924,0.954
0.24907207489013672,-0.006,-0.246,-0.902,0.935
0.2595348358154297,-0.014,-0.242,-0.874,0.907
0.26942992210388184,-0.018,-0.227,-0.847,0.877
0.302487850189209,-0.016,-0.188,-0.889,0.909
0.30263495445251465,-0.016,-0.188,-0.889,0.909
0.30277395248413086,-0.016,-0.188,-0.889,0.909
0.307218074798584,-0.016,-0.184,-0.898,0.917
0.3172168731689453,-0.077,-0.172,-0.808,0.83
0.3273189067840576,-0.126,-0.144,-0.755,0.779
0.33899784088134766,-0.157,-0.102,-0.702,0.727
0.34847402572631836,-0.161,-0.082,-0.694,0.717
0.3587520122528076,-0.089,-0.073,-0.681,0.691
0.36911678314208984,0.181,-0.255,-1.459,1.492
0.39905405044555664,-0.093,-0.098,-0.395,0.417
0.3992009162902832,-0.093,-0.098,-0.395,0.417
0.39933109283447266,-0.093,-0.098,-0.395,0.417
0.4069218635559082,-0.227,-0.206,-0.553,0.632
0.41695499420166016,-0.307,-0.267,-1.048,1.124
0.4284858703613281,-0.459,-0.121,-1.068,1.169
