time,gFx,gFy,gFz,gFTotal
0.005057811737060547,-0.001,-0.291,-0.903,0.949
0.014804840087890625,0.046,-0.271,-0.861,0.904
0.02507305145263672,0.096,-0.279,-0.911,0.958
0.03391695022583008,0.144,-0.298,-0.946,1.002
0.045056819915771484,0.181,-0.312,-0.933,1.0
0.05519390106201172,0.188,-0.331,-0.925,1.0
0.06506681442260742,0.14,-0.36,-0.911,0.99
0.08893775939941406,0.045,-0.391,-0.837,0.925
0.08949899673461914,0.045,-0.391,-0.837,0.925
0.09341287612915039,0.052,-0.415,-0.861,0.957
0.10526394844055176,0.081,-0.441,-0.857,0.967
0.11526775360107422,0.107,-0.47,-0.848,0.975
0.12619876861572266,0.145,-0.496,-0.903,1.04
0.1346607208251953,0.156,-0.555,-0.861,1.036
0.14449501037597656,0.194,-0.561,-0.833,1.023
0.1544198989868164,0.141,-0.501,-0.847,0.994
0.16418981552124023,0.09,-0.432,-0.866,0.972
0.1842339038848877,0.182,-0.369,-0.915,1.003
0.18436884880065918,0.182,-0.369,-0.915,1.003
0.19315481185913086,0.24,-0.363,-0.99,1.081
0.2027418613433838,0.145,-0.409,-0.883,0.984
0.21926093101501465,0.061,-0.445,-0.676,0.812
0.2230987548828125,0.014,-0.514,-0.673,0.847
0.23453783988952637,0.001,-0.573,-0.748,0.942
0.2443380355834961,0.018,-0.593,-0.761,0.965
0.2542269229888916,0.036,-0.618,-0.763,0.983
0.2642519474029541,0.034,-0.631,-0.762,0.99
0.28702497482299805,0.068,-0.62,-0.802,1.016
0.28747081756591797,0.068,-0.62,-0.802,1.016
0.29265594482421875,0.089,-0.617,-0.852,1.056
0.3027329444885254,0.107,-0.607,-0.895,1.087
0.3137669563293457,0.103,-0.581,-0.896,1.073
0.3256688117980957,0.107,-0.591,-0.909,1.09
0.3338449001312256,0.219,-0.717,-0.918,1.185
0.34395885467529297,0.274,-0.792,-0.835,1.183
0.354996919631958,0.15,-0.661,-0.813,1.058
0.3637878894805908,0.046,-0.529,-0.864,1.014
0.3854658603668213,-0.03,-0.484,-0.883,1.007
0.3859138488769531,-0.03,-0.484,-0.883,1.007
0.3925509452819824,-0.026,-0.491,-0.899,1.025
0.4038357734680176,-0.032,-0.475,-0.873,0.994
0.4166698455810547,-0.05,-0.445,-0.857,0.967
0.4236018657684326,-0.062,-0.438,-0.858,0.965
0.4332308769226074,-0.077,-0.439,-0.84,0.951
0.4435548782348633,-0.094,-0.438,-0.799,0.916
0.4533228874206543,-0.126,-0.442,-0.734,0.866
0.4631309509277344,-0.157,-0.442,-0.689,0.834
0.4861738681793213,-0.11,-0.399,-0.7,0.813
0.4866209030151367,-0.11,-0.399,-0.7,0.813
0.49211692810058594,-0.066,-0.344,-0.717,0.798
0.5021579265594482,-0.058,-0.328,-0.629,0.712
0.5170118808746338,-0.06,-0.34,-0.552,0.651
0.5249419212341309,-0.082,-0.351,-0.492,0.61
0.5329799652099609,-0.138,-0.348,-0.457,0.591
0.5433907508850098,-0.202,-0.341,-0.433,0.587
0.5547568798065186,-0.246,-0.349,-0.41,0.592
0.5631227493286133,-0.242,-0.336,-0.436,0.601
0.5922708511352539,-0.254,-0.159,-0.572,0.646
0.5931587219238281,-0.254,-0.159,-0.572,0.646
0.594336986541748,-0.254,-0.159,-0.572,0.646
0.6029267311096191,-0.321,-0.13,-0.542,0.643
0.6163630485534668,-0.307,-0.148,-0.61,0.699
0.6215229034423828,-0.305,-0.25,-0.742,0.84
