time,gFx,gFy,gFz,gFTotal
0.0012810230255126953,-0.108,-0.195,-0.982,1.007
0.0016100406646728516,-0.108,-0.195,-0.982,1.007
0.0017521381378173828,-0.108,-0.195,-0.982,1.007
0.007250070571899414,-0.102,-0.192,-0.892,0.918
0.01716017723083496,-0.059,-0.186,-0.895,0.916
0.0274200439453125,-0.001,-0.176,-0.979,0.995
0.03867506980895996,0.034,-0.202,-0.99,1.011
0.04838705062866211,0.034,-0.247,-0.976,1.007
0.05879616737365723,0.019,-0.289,-0.963,1.006
0.06884002685546875,-0.006,-0.315,-0.903,0.956
0.09717202186584473,-0.07,-0.395,-0.827,0.919
0.0974881649017334,-0.07,-0.395,-0.827,0.919
0.09762692451477051,-0.07,-0.395,-0.827,0.919
0.10709810256958008,-0.14,-0.517,-0.821,0.98
0.11675310134887695,-0.111,-0.521,-0.888,1.036
0.12844491004943848,0.06,-0.326,-1.107,1.156
0.13878202438354492,0.193,-0.212,-1.109,1.145
0.1481611728668213,0.216,-0.219,-1.014,1.06
0.15877890586853027,0.145,-0.279,-0.879,0.934
0.16864800453186035,0.032,-0.358,-0.706,0.792
0.20034193992614746,-0.111,-0.539,-0.702,0.892
0.20064210891723633,-0.111,-0.539,-0.702,0.892
0.2007739543914795,-0.111,-0.539,-0.702,0.892
0.20660901069641113,-0.087,-0.566,-0.73,0.928
0.21668505668640137,-0.044,-0.537,-0.684,0.871
0.2279810905456543,-0.049,-0.479,-0.616,0.782
0.2382650375366211,-0.087,-0.466,-0.577,0.747
0.24836301803588867,-0.099,-0.474,-0.615,0.783
0.2582120895385742,-0.106,-0.463,-0.656,0.81
0.26848411560058594,-0.139,-0.423,-0.715,0.842
0.2984201908111572,-0.464,-0.42,-0.925,1.117
0.29871106147766113,-0.464,-0.42,-0.925,1.117
0.2988460063934326,-0.464,-0.42,-0.925,1.117
0.306257963180542,-0.44,-0.4,-0.993,1.157
0.31632018089294434,-0.328,-0.383,-1.015,1.133
0.3280642032623291,-0.161,-0.367,-0.875,0.962
0.33779001235961914,0.165,-0.311,-0.86,0.929
0.3475770950317383,0.459,-0.314,-0.867,1.03
0.3575119972229004,0.671,-0.411,-0.507,0.936
0.3676609992980957,0.649,-0.544,-0.214,0.873
0.3999922275543213,-0.138,-0.745,-0.553,0.938
0.4003291130065918,-0.138,-0.745,-0.553,0.938
0.40062499046325684,-0.138,-0.745,-0.553,0.938
0.4058868885040283,-0.21,-0.666,-0.623,0.936
0.41577911376953125,-0.246,-0.415,-0.558,0.738
0.42612719535827637,-0.273,-0.152,-0.368,0.483
0.4378812313079834,-0.344,0.088,-0.322,0.479
0.44718003273010254,-0.277,0.134,-0.212,0.374
0.45720505714416504,-0.167,0.051,-0.077,0.191
0.4674670696258545,-0.059,-0.031,-0.034,0.075
0.49898219108581543,-0.067,-0.272,-0.368,0.462
0.49928903579711914,-0.067,-0.272,-0.368,0.462
0.4995839595794678,-0.067,-0.272,-0.368,0.462
0.5055291652679443,-0.335,-0.259,-0.718,0.834
0.5154070854187012,-0.425,-0.277,-0.685,0.852
0.5271379947662354,-0.54,-0.228,-0.599,0.838
0.536750078201294,-0.797,-0.191,-0.403,0.913
0.5468270778656006,-0.95,-0.16,-0.202,0.984
0.5572290420532227,-1.006,-0.133,-0.338,1.07
0.5670521259307861,-1.003,-0.08,-0.618,1.181
0.5980570316314697,-1.07,0.061,-0.626,1.241
0.5983450412750244,-1.07,0.061,-0.626,1.241
0.598682165145874,-1.07,0.061,-0.626,1.241
0.6052110195159912,-1.155,0.036,-0.595,1.3
0.6153299808502197,-1.245,-0.016,-0.575,1.371
0.6270370483398438,-1.373,-0.061,-0.569,1.487
0.6366350650787354,-1.535,-0.094,-0.566,1.639
0.6464900970458984,-1.74,-0.133,-0.525,1.822
0.6565470695495605,-1.829,-0.194,-0.494,1.904
0.6666820049285889,-1.726,-0.206,-0.481,1.804
0.6981451511383057,-1.634,-0.164,-0.452,1.703
0.6984388828277588,-1.634,-0.164,-0.452,1.703
0.6987180709838867,-1.634,-0.164,-0.452,1.703
0.7048420906066895,-1.716,-0.251,-0.446,1.791
0.7146751880645752,-1.781,-0.331,-0.476,1.873
0.7266700267791748,-1.819,-0.357,-0.496,1.919
0.735990047454834,-1.864,-0.355,-0.496,1.961
0.7471940517425537,-1.921,-0.358,-0.501,2.017
0.7569930553436279,-1.967,-0.4,-0.498,2.068
0.7676060199737549,-2.015,-0.446,-0.491,2.121
0.7932560443878174,-1.874,-0.472,-0.492,1.994
0.7935380935668945,-1.874,-0.472,-0.492,1.994
0.7948060035705566,-1.737,-0.458,-0.545,1.877
0.8047370910644531,-1.616,-0.44,-0.584,1.774
0.8143689632415771,-1.51,-0.433,-0.587,1.677
0.8245890140533447,-1.42,-0.417,-0.558,1.582
0.8364100456237793,-1.338,-0.4,-0.55,1.501
0.845782995223999,-1.228,-0.377,-0.571,1.406
0.8558781147003174,-1.154,-0.367,-0.526,1.32
0.8657050132751465,-1.107,-0.309,-0.332,1.196
0.8955671787261963,-0.931,-0.223,-0.243,0.988
0.8957140445709229,-0.931,-0.223,-0.243,0.988
0.8959701061248779,-0.931,-0.223,-0.243,0.988
0.9043419361114502,-0.825,-0.066,-0.531,0.983
0.9141819477081299,-0.582,-0.009,-0.944,1.109
0.9261481761932373,-0.522,-0.126,-0.696,0.879
0.9357550144195557,-0.403,-0.109,-0.59,0.723
0.9456961154937744,-0.266,-0.065,-0.789,0.835
0.9556748867034912,-0.315,-0.048,-0.659,0.732
0.9652612209320068,-0.257,-0.065,-0.601,0.657
0.9954710006713867,-0.172,-0.192,-0.508,0.57
0.9958112239837646,-0.172,-0.192,-0.508,0.57
0.9960939884185791,-0.172,-0.192,-0.508,0.57
1.0038700103759766,-0.208,-0.144,-0.428,0.497
1.0137500762939453,-0.308,-0.044,-0.37,0.483
1.0252161026000977,-0.366,0.061,-0.56,0.672
