time,gFx,gFy,gFz,gFTotal
0.00855875015258789,0.017,-0.334,-0.958,1.015
0.018594741821289062,0.015,-0.317,-0.928,0.981
0.030026912689208984,0.037,-0.299,-0.94,0.987
0.039696693420410156,0.089,-0.294,-0.954,1.002
0.04972481727600098,0.127,-0.318,-0.976,1.034
0.059830665588378906,0.131,-0.367,-0.962,1.038
0.09028387069702148,0.097,-0.419,-0.901,0.998
0.09044075012207031,0.097,-0.419,-0.901,0.998
0.09057474136352539,0.097,-0.419,-0.901,0.998
0.09805679321289062,0.073,-0.39,-0.898,0.982
0.10834074020385742,0.053,-0.368,-0.898,0.972
0.11965370178222656,0.044,-0.359,-0.891,0.962
0.12943077087402344,0.047,-0.364,-0.878,0.952
0.13932466506958008,0.055,-0.376,-0.873,0.952
0.14942288398742676,0.069,-0.382,-0.87,0.953
0.15976572036743164,0.075,-0.374,-0.862,0.943
0.18992090225219727,0.09,-0.395,-0.884,0.972
0.19006967544555664,0.09,-0.395,-0.884,0.972
0.1902017593383789,0.09,-0.395,-0.884,0.972
0.19771289825439453,0.084,-0.396,-0.893,0.98
0.20763278007507324,0.074,-0.396,-0.913,0.998
0.21927165985107422,0.06,-0.399,-0.938,1.021
0.2292337417602539,0.053,-0.402,-0.93,1.015
0.2393627166748047,0.048,-0.4,-0.912,0.997
0.24932098388671875,0.053,-0.404,-0.905,0.992
0.259768009185791,0.066,-0.42,-0.902,0.997
0.29228973388671875,0.101,-0.478,-0.86,0.989
0.29243993759155273,0.101,-0.478,-0.86,0.989
0.2925708293914795,0.101,-0.478,-0.86,0.989
0.29738378524780273,0.144,-0.485,-0.817,0.961
0.30915069580078125,0.158,-0.467,-0.873,1.003
0.31884098052978516,0.144,-0.454,-0.959,1.071
0.32886791229248047,0.142,-0.455,-0.919,1.035
0.3392319679260254,0.127,-0.487,-0.844,0.983
0.34842967987060547,0.087,-0.524,-0.8,0.96
0.35912370681762695,0.044,-0.538,-0.775,0.944
0.3884317874908447,-0.094,-0.48,-0.764,0.907
0.388577938079834,-0.094,-0.48,-0.764,0.907
0.38870882987976074,-0.094,-0.48,-0.764,0.907
0.3971719741821289,-0.093,-0.518,-0.785,0.945
0.40697383880615234,-0.045,-0.444,-0.535,0.697
0.41889381408691406,-0.079,-0.41,-0.469,0.628
0.4284248352050781,-0.154,-0.432,-0.589,0.746
0.4387547969818115,-0.209,-0.455,-0.694,0.856
0.4487118721008301,-0.205,-0.449,-0.684,0.843
0.4589719772338867,-0.204,-0.424,-0.661,0.811
0.4917328357696533,-0.02,-0.654,-0.77,1.01
0.49187779426574707,-0.02,-0.654,-0.77,1.01
0.49200868606567383,-0.02,-0.654,-0.77,1.01
0.49646878242492676,-0.061,-0.714,-0.764,1.047
0.5068008899688721,-0.149,-0.727,-0.759,1.062
0.5184040069580078,-0.244,-0.693,-0.751,1.051
0.5280218124389648,-0.32,-0.63,-0.735,1.02
0.5380427837371826,-0.288,-0.571,-0.708,0.954
0.548123836517334,-0.185,-0.503,-0.738,0.912
0.5583648681640625,-0.116,-0.406,-0.779,0.886
0.5919280052185059,0.149,-0.276,-0.519,0.606
0.5920767784118652,0.149,-0.276,-0.519,0.606
0.5922098159790039,0.149,-0.276,-0.519,0.606
0.5962939262390137,0.154,-0.349,-0.59,0.703
0.6062307357788086,0.147,-0.462,-0.483,0.684
0.6162497997283936,0.13,-0.643,-0.304,0.723
0.628180980682373,0.144,-0.8,-0.21,0.84
0.6373128890991211,0.098,-0.9,-0.218,0.931
0.6476128101348877,-0.138,-0.775,-0.451,0.907
0.6575617790222168,-0.318,-0.414,-0.597,0.793
0.6904687881469727,-0.543,0.124,-0.029,0.558
0.6906168460845947,-0.543,0.124,-0.029,0.558
0.6907477378845215,-0.543,0.124,-0.029,0.558
0.6956839561462402,-0.701,0.125,-0.043,0.713
0.7074747085571289,-0.814,0.084,-0.116,0.827
0.7171549797058105,-0.822,-0.032,-0.192,0.845
0.7272548675537109,-0.786,-0.19,-0.244,0.845
0.7372498512268066,-0.713,-0.313,-0.211,0.807
0.7474648952484131,-0.695,-0.375,-0.133,0.801
0.7576758861541748,-0.74,-0.341,-0.037,0.816
0.7878179550170898,-1.159,-0.36,-0.098,1.218
0.7879598140716553,-1.159,-0.36,-0.098,1.218
0.7880887985229492,-1.159,-0.36,-0.098,1.218
0.7955837249755859,-1.314,-0.398,-0.126,1.379
0.8067708015441895,-1.479,-0.42,-0.103,1.541
0.8168797492980957,-1.535,-0.39,-0.051,1.585
0.8269748687744141,-1.515,-0.338,-0.057,1.553
0.8367908000946045,-1.493,-0.32,-0.117,1.531
0.8468987941741943,-1.523,-0.347,-0.223,1.578
0.8574857711791992,-1.569,-0.393,-0.335,1.652
0.891157865524292,-1.69,-0.434,-0.664,1.867
0.8913028240203857,-1.69,-0.434,-0.664,1.867
0.8914337158203125,-1.69,-0.434,-0.664,1.867
0.8949248790740967,-1.686,-0.39,-0.563,1.82
0.9053339958190918,-1.702,-0.331,-0.541,1.816
0.9166836738586426,-1.714,-0.262,-0.592,1.832
0.9267349243164062,-1.724,-0.22,-0.684,1.868
0.9364209175109863,-1.647,-0.232,-0.684,1.798
0.9464240074157715,-1.51,-0.273,-0.586,1.643
0.9570279121398926,-1.381,-0.315,-0.514,1.507
0.9858059883117676,-1.089,-0.229,-0.459,1.204
0.985947847366333,-1.089,-0.229,-0.459,1.204
0.9860787391662598,-1.089,-0.229,-0.459,1.204
0.9947929382324219,-1.005,-0.176,-0.465,1.121
1.004680871963501,-0.957,-0.152,-0.527,1.103
1.0163547992706299,-0.91,-0.162,-0.544,1.073
1.0262408256530762,-0.862,-0.178,-0.446,0.987
1.0359387397766113,-0.768,-0.138,-0.448,0.9
1.0463776588439941,-0.669,-0.074,-0.558,0.874
1.0567288398742676,-0.686,-0.055,-0.609,0.919
1.0880208015441895,-0.56,-0.006,-0.584,0.809
1.0881919860839844,-0.56,-0.006,-0.584,0.809
1.0883228778839111,-0.56,-0.006,-0.584,0.809
1.0942928791046143,-0.585,-0.04,-0.609,0.845
1.104151725769043,-0.584,-0.038,-0.621,0.853
1.1158788204193115,-0.59,-0.017,-0.565,0.817
1.1261098384857178,-0.594,-0.02,-0.555,0.813
1.1354789733886719,-0.593,0.045,-0.574,0.827
1.1458158493041992,-0.585,0.057,-0.618,0.853
1.1560149192810059,-0.498,0.128,-0.652,0.83
1.186133861541748,-0.529,0.228,-0.618,0.845
1.1862778663635254,-0.529,0.228,-0.618,0.845
1.1864089965820312,-0.529,0.228,-0.618,0.845
1.1938767433166504,-0.531,0.253,-0.648,0.875
1.2041478157043457,-0.515,0.299,-0.64,0.874
1.215843677520752,-0.54,0.328,-0.602,0.873
1.2257747650146484,-0.629,0.246,-0.68,0.958
1.2356147766113281,-0.67,0.311,-0.62,0.964
1.2456426620483398,-0.747,0.344,-0.565,0.998
1.255577802658081,-0.809,0.358,-0.453,0.994
1.2926597595214844,-0.934,0.268,-0.465,1.077
1.2928028106689453,-0.934,0.268,-0.465,1.077
1.2929518222808838,-0.934,0.268,-0.465,1.077
1.2938709259033203,-0.957,0.289,-0.449,1.096
1.303736686706543,-0.992,0.357,-0.426,1.137
1.3152446746826172,-1.037,0.462,-0.361,1.191
1.3249518871307373,-1.037,0.561,-0.356,1.232
1.3346288204193115,-1.037,0.633,-0.415,1.284
1.3450379371643066,-1.027,0.631,-0.443,1.284
1.3554158210754395,-0.999,0.611,-0.404,1.239
1.388272762298584,-0.874,0.491,-0.317,1.051
1.3884177207946777,-0.874,0.491,-0.317,1.051
1.3885469436645508,-0.874,0.491,-0.317,1.051
1.3931388854980469,-0.792,0.501,-0.282,0.979
1.4047489166259766,-0.68,0.507,-0.219,0.876
1.4144558906555176,-0.559,0.479,-0.171,0.756
1.4248957633972168,-0.448,0.457,-0.16,0.66
1.4346628189086914,-0.377,0.48,-0.172,0.634
1.444777011871338,-0.325,0.541,-0.129,0.644
1.4545998573303223,-0.295,0.673,-0.004,0.735
1.485623836517334,-0.184,0.915,0.136,0.943
1.4857678413391113,-0.184,0.915,0.136,0.943
1.4858977794647217,-0.184,0.915,0.136,0.943
1.4930109977722168,-0.075,0.782,0.112,0.794
1.5043118000030518,0.06,0.317,0.367,0.489
1.514253854751587,0.117,0.306,0.417,0.53
1.524749755859375,0.115,0.36,0.501,0.628
1.5341796875,0.093,0.321,0.422,0.538
1.5443627834320068,0.061,0.268,0.332,0.431
1.5544118881225586,0.058,0.233,0.244,0.342
1.5878887176513672,0.133,0.287,-0.195,0.372
1.588028907775879,0.133,0.287,-0.195,0.372
1.588174819946289,0.133,0.287,-0.195,0.372
1.592378854751587,0.181,0.334,-0.298,0.483
1.6039338111877441,0.203,0.332,-0.295,0.488
1.61248779296875,0.184,0.275,-0.402,0.521
1.624173879623413,0.187,0.319,-0.454,0.586
1.6338708400726318,0.186,0.385,-0.324,0.536
1.6437628269195557,0.148,0.41,-0.001,0.436
1.6538548469543457,0.131,0.429,0.258,0.517
1.68389892578125,0.466,3.766,0.608,3.843
1.6840457916259766,0.466,3.766,0.608,3.843
1.6841750144958496,0.466,3.766,0.608,3.843
1.6921818256378174,0.961,6.796,0.194,6.866
1.702538013458252,1.024,5.837,-0.53,5.95
1.715092658996582,0.779,3.455,-1.318,3.779
1.723761796951294,0.5,2.306,-1.474,2.782
1.7332398891448975,0.203,1.145,-0.942,1.497
1.743574857711792,0.122,0.568,0.134,0.596
1.7534887790679932,0.164,0.301,0.856,0.922
1.7826147079467773,0.137,0.36,0.9,0.979
1.7827568054199219,0.137,0.36,0.9,0.979
1.7828869819641113,0.137,0.36,0.9,0.979
1.791883945465088,0.157,0.641,0.628,0.911
1.801924705505371,0.175,0.917,0.356,0.999
1.8134427070617676,0.183,1.071,0.096,1.091
1.8238587379455566,0.177,1.175,-0.158,1.199
1.8335857391357422,0.162,1.231,-0.359,1.292
1.84326171875,0.137,1.208,-0.497,1.313
1.8531746864318848,0.119,1.093,-0.542,1.226
1.8851079940795898,0.215,0.844,-0.21,0.896
1.8852577209472656,0.215,0.844,-0.21,0.896
1.8853888511657715,0.215,0.844,-0.21,0.896
1.8913848400115967,0.258,0.896,-0.09,0.937
1.9015936851501465,0.286,0.947,-0.008,0.989
1.9129886627197266,0.289,0.994,0.048,1.036
1.9231138229370117,0.263,1.026,0.077,1.062
1.9327738285064697,0.224,1.035,0.069,1.061
1.9431767463684082,0.192,1.037,0.035,1.055
1.9524378776550293,0.165,1.032,0.009,1.045
1.9831068515777588,0.101,0.977,0.017,0.982
1.9832496643066406,0.101,0.977,0.017,0.982
1.98337984085083,0.101,0.977,0.017,0.982
1.9909729957580566,0.081,0.961,0.032,0.965
2.000947952270508,0.064,0.957,0.032,0.96
2.0131497383117676,0.051,0.967,0.016,0.968
2.022639751434326,0.047,0.982,-0.009,0.983
2.0326778888702393,0.05,1.0,-0.028,1.002
2.0423247814178467,0.059,1.014,-0.04,1.017
2.052396774291992,0.077,1.022,-0.048,1.026
2.0826528072357178,0.154,0.992,-0.055,1.005
2.0827958583831787,0.154,0.992,-0.055,1.005
2.082925796508789,0.154,0.992,-0.055,1.005
2.0906319618225098,0.167,0.983,-0.059,0.999
2.100794792175293,0.173,0.978,-0.061,0.995
2.1124987602233887,0.169,0.974,-0.06,0.99
2.122098922729492,0.164,0.973,-0.057,0.988
2.131802797317505,0.163,0.973,-0.056,0.988
2.1427297592163086,0.167,0.978,-0.051,0.993
2.152204990386963,0.171,0.982,-0.047,0.998
2.1859757900238037,0.184,0.983,-0.039,1.001
2.1861178874969482,0.184,0.983,-0.039,1.001
2.1862478256225586,0.184,0.983,-0.039,1.001
2.190058708190918,0.189,0.982,-0.035,1.001
2.2006278038024902,0.192,0.984,-0.034,1.003
2.2121639251708984,0.193,0.986,-0.035,1.005
2.2215399742126465,0.196,0.99,-0.036,1.01
2.2318508625030518,0.199,0.995,-0.035,1.015
2.2418558597564697,0.206,0.998,-0.026,1.019
2.2515928745269775,0.215,0.997,0.0,1.02
2.281747817993164,0.218,0.995,0.006,1.019
2.281895875930786,0.218,0.995,0.006,1.019
2.2820258140563965,0.218,0.995,0.006,1.019
2.289982795715332,0.206,0.988,-0.022,1.009
2.3000059127807617,0.198,0.985,-0.028,1.005
2.3117079734802246,0.199,0.992,-0.014,1.012
2.3209028244018555,0.203,1.002,-0.01,1.022
2.3311338424682617,0.213,0.997,-0.023,1.02
2.341564893722534,0.221,0.978,-0.031,1.003
2.3512308597564697,0.23,0.972,-0.038,1.0
2.3801980018615723,0.236,0.971,-0.075,1.002
2.380340814590454,0.236,0.971,-0.075,1.002
2.3804707527160645,0.236,0.971,-0.075,1.002
2.389495849609375,0.227,0.972,-0.071,1.001
2.399460792541504,0.214,0.979,-0.063,1.004
2.4111709594726562,0.197,0.988,-0.054,1.009
2.4206857681274414,0.178,0.991,-0.045,1.008
2.4307637214660645,0.158,0.992,-0.043,1.005
2.4412708282470703,0.138,0.989,-0.052,1.0
2.451107978820801,0.122,0.984,-0.064,0.994
2.483592987060547,0.079,0.971,-0.103,0.98
2.4837379455566406,0.079,0.971,-0.103,0.98
2.483869791030884,0.079,0.971,-0.103,0.98
2.489123821258545,0.068,0.969,-0.11,0.978
2.5005669593811035,0.052,0.975,-0.123,0.984
2.511643886566162,0.04,0.974,-0.129,0.983
2.520343780517578,0.036,0.971,-0.118,0.979
2.530488967895508,0.048,0.983,-0.093,0.989
2.541080951690674,0.075,1.013,-0.065,1.018
2.5505547523498535,0.086,1.045,-0.083,1.052
2.5836398601531982,0.042,0.981,-0.173,0.997
2.5837860107421875,0.042,0.981,-0.173,0.997
2.583920955657959,0.042,0.981,-0.173,0.997
2.588657855987549,0.045,0.925,-0.114,0.933
2.598906993865967,0.069,0.881,-0.035,0.884
2.6086058616638184,0.108,0.892,0.021,0.899
2.618438720703125,0.145,0.952,0.028,0.963
2.6284568309783936,0.171,1.015,-0.007,1.029
2.6383557319641113,0.195,1.073,-0.055,1.092
2.6498537063598633,0.217,1.096,-0.081,1.12
2.6752078533172607,0.236,1.0,-0.044,1.028
2.675358772277832,0.236,1.0,-0.044,1.028
2.678107738494873,0.236,0.948,-0.015,0.977
2.6884679794311523,0.235,0.922,0.0,0.951
2.6981618404388428,0.233,0.927,-0.003,0.956
2.710150718688965,0.224,0.953,-0.024,0.979
2.719841957092285,0.211,0.983,-0.051,1.007
2.72961688041687,0.195,1.004,-0.07,1.025
2.740196704864502,0.179,1.016,-0.077,1.035
2.749539852142334,0.162,1.017,-0.077,1.033
2.7784876823425293,0.108,0.978,-0.056,0.986
2.7786359786987305,0.108,0.978,-0.056,0.986
2.778787851333618,0.108,0.978,-0.056,0.986
2.7878737449645996,0.099,0.978,-0.055,0.985
2.7982258796691895,0.096,0.982,-0.056,0.988
2.8102169036865234,0.099,0.987,-0.058,0.994
2.819232940673828,0.103,0.994,-0.062,1.001
2.8295698165893555,0.111,0.996,-0.066,1.004
2.8394358158111572,0.119,0.993,-0.071,1.003
2.84950590133667,0.129,0.987,-0.075,0.998
