time,gFx,gFy,gFz,gFTotal
0.005329132080078125,-0.011,-0.424,-0.803,0.908
0.030735015869140625,0.001,-0.335,-0.887,0.948
0.030887126922607422,0.001,-0.335,-0.887,0.948
0.03491711616516113,0.039,-0.36,-0.879,0.951
0.04492521286010742,0.083,-0.424,-0.871,0.972
0.05496406555175781,0.112,-0.493,-0.878,1.013
0.06675004959106445,0.117,-0.533,-0.857,1.016
0.07618904113769531,0.098,-0.531,-0.841,0.999
0.08636903762817383,0.064,-0.505,-0.836,0.979
0.09694194793701172,0.038,-0.476,-0.839,0.965
0.10610818862915039,0.022,-0.466,-0.842,0.963
0.13748502731323242,0.028,-0.479,-0.787,0.922
0.1376340389251709,0.028,-0.479,-0.787,0.922
0.13776493072509766,0.028,-0.479,-0.787,0.922
0.14435505867004395,0.065,-0.465,-0.774,0.905
0.15473103523254395,0.127,-0.474,-0.849,0.981
0.16666221618652344,0.172,-0.505,-0.871,1.021
0.17583417892456055,0.181,-0.5,-0.91,1.054
0.18591904640197754,0.087,-0.353,-1.251,1.303
0.1968390941619873,0.071,-0.319,-1.452,1.488
0.20612001419067383,0.078,-0.514,-1.03,1.154
0.23674392700195312,-0.188,-0.576,-0.615,0.863
0.23689007759094238,-0.188,-0.576,-0.615,0.863
0.23702311515808105,-0.188,-0.576,-0.615,0.863
0.24391889572143555,-0.016,-0.6,-0.757,0.966
0.25447511672973633,0.13,-0.533,-0.771,0.946
0.2662491798400879,0.14,-0.483,-0.674,0.841
0.275238037109375,0.097,-0.537,-0.57,0.789
0.28563404083251953,0.057,-0.622,-0.516,0.81
0.2955479621887207,0.022,-0.678,-0.49,0.837
0.3060579299926758,-0.013,-0.713,-0.455,0.846
0.3361191749572754,-0.028,-0.566,-0.547,0.788
0.33628416061401367,-0.028,-0.566,-0.547,0.788
0.33641719818115234,-0.028,-0.566,-0.547,0.788
0.3436579704284668,0.165,-0.654,-0.923,1.143
0.3540511131286621,0.195,-0.705,-0.985,1.227
0.36548709869384766,0.005,-0.61,-0.775,0.986
0.3750162124633789,-0.046,-0.573,-0.774,0.964
0.3852391242980957,-0.208,-0.516,-0.744,0.929
0.395374059677124,-0.389,-0.455,-0.717,0.934
0.40526604652404785,-0.467,-0.426,-0.657,0.912
0.4381709098815918,-0.047,-0.27,-0.625,0.682
0.438323974609375,-0.047,-0.27,-0.625,0.682
0.43845510482788086,-0.047,-0.27,-0.625,0.682
0.4431900978088379,0.299,-0.281,-0.49,0.639
0.4550590515136719,0.855,-0.443,-0.591,1.13
0.4650859832763672,1.288,-0.696,-0.411,1.521
0.4746971130371094,1.307,-1.014,0.077,1.656
0.48493409156799316,0.804,-1.119,-0.009,1.378
0.4947690963745117,-0.168,-0.763,-0.633,1.006
0.5049281120300293,-0.606,-0.408,-0.769,1.061
0.5410580635070801,-0.272,0.341,-0.363,0.567
0.541208028793335,-0.272,0.341,-0.363,0.567
0.54134202003479,-0.272,0.341,-0.363,0.567
0.5428910255432129,-0.309,0.358,-0.423,0.634
0.5533320903778076,-0.368,0.234,-0.431,0.613
0.5645580291748047,-0.466,0.077,-0.353,0.59
0.5743551254272461,-0.537,0.039,-0.205,0.576
0.5847811698913574,-0.633,0.065,-0.134,0.65
0.5944209098815918,-0.738,0.087,-0.106,0.751
0.6045489311218262,-0.808,0.116,-0.092,0.821
0.6407721042633057,-0.965,0.155,-0.188,0.995
0.640923023223877,-0.965,0.155,-0.188,0.995
0.6410531997680664,-0.965,0.155,-0.188,0.995
0.6425061225891113,-1.198,0.062,-0.092,1.203
0.6529560089111328,-1.465,-0.019,0.033,1.465
0.6642589569091797,-1.74,-0.095,0.12,1.747
0.6740589141845703,-1.873,-0.172,0.145,1.886
0.6841490268707275,-1.86,-0.204,0.142,1.877
0.6942539215087891,-1.817,-0.183,0.127,1.831
0.7040319442749023,-1.84,-0.181,0.121,1.853
0.7386898994445801,-1.773,-0.351,0.076,1.809
0.7388360500335693,-1.773,-0.351,0.076,1.809
0.7389700412750244,-1.773,-0.351,0.076,1.809
0.742110013961792,-1.748,-0.348,-0.022,1.782
0.7538590431213379,-1.742,-0.335,-0.109,1.777
0.7643132209777832,-1.722,-0.33,-0.128,1.758
0.7735781669616699,-1.718,-0.299,-0.119,1.748
0.7837729454040527,-1.766,-0.291,-0.14,1.795
0.7936949729919434,-1.75,-0.289,-0.139,1.779
0.8040111064910889,-1.695,-0.264,-0.13,1.72
0.8348240852355957,-1.393,-0.157,-0.215,1.418
0.834968090057373,-1.393,-0.157,-0.215,1.418
0.8351001739501953,-1.393,-0.157,-0.215,1.418
0.8418631553649902,-1.324,-0.132,-0.283,1.36
0.8519191741943359,-1.196,-0.09,-0.393,1.262
0.8635690212249756,-1.028,-0.051,-0.449,1.123
0.8731250762939453,-0.947,-0.012,-0.468,1.056
0.8834781646728516,-0.904,0.033,-0.521,1.044
0.8931820392608643,-0.836,0.074,-0.598,1.031
0.9034841060638428,-0.771,0.066,-0.607,0.983
0.9345450401306152,-0.655,-0.057,-0.357,0.748
0.9346930980682373,-0.655,-0.057,-0.357,0.748
0.9348249435424805,-0.655,-0.057,-0.357,0.748
0.941317081451416,-0.7,0.006,-0.299,0.761
0.9515299797058105,-0.69,0.057,-0.303,0.756
0.9635000228881836,-0.638,0.071,-0.355,0.734
0.9727082252502441,-0.655,0.073,-0.404,0.773
0.9830400943756104,-0.671,0.061,-0.445,0.807
0.9929919242858887,-0.654,0.084,-0.52,0.84
1.0030369758605957,-0.6,0.116,-0.586,0.847
1.033243179321289,-0.732,0.128,-0.527,0.911
1.0333940982818604,-0.732,0.128,-0.527,0.911
1.0335259437561035,-0.732,0.128,-0.527,0.911
1.040898084640503,-0.767,0.163,-0.514,0.938
1.052720069885254,-0.792,0.184,-0.49,0.949
1.0627012252807617,-0.802,0.065,-0.522,0.959
1.072458028793335,-0.803,0.071,-0.574,0.99
1.0830512046813965,-0.83,0.159,-0.443,0.954
1.0926141738891602,-0.843,0.124,-0.319,0.91
1.1026690006256104,-0.919,0.136,-0.258,0.964
1.1370511054992676,-1.251,0.216,-0.275,1.299
1.1372010707855225,-1.251,0.216,-0.275,1.299
1.137336015701294,-1.251,0.216,-0.275,1.299
1.140714168548584,-1.171,0.242,-0.315,1.237
1.1508121490478516,-1.07,0.266,-0.335,1.152
1.1627840995788574,-0.989,0.29,-0.327,1.081
1.1721091270446777,-0.936,0.273,-0.262,1.01
1.1826438903808594,-0.875,0.278,-0.211,0.942
1.1922180652618408,-0.822,0.272,-0.172,0.883
1.2022452354431152,-0.815,0.279,-0.127,0.871
1.2322602272033691,-0.672,0.406,0.059,0.787
1.2324061393737793,-0.672,0.406,0.059,0.787
1.2325382232666016,-0.672,0.406,0.059,0.787
1.240164041519165,-0.567,0.415,0.116,0.712
1.2506821155548096,-0.49,0.413,0.14,0.656
1.2623341083526611,-0.453,0.395,0.074,0.606
1.271833896636963,-0.412,0.346,-0.017,0.538
1.2820320129394531,-0.362,0.36,-0.077,0.516
1.291680097579956,-0.301,0.407,-0.033,0.507
1.3022642135620117,-0.274,0.48,0.008,0.553
1.331226110458374,-0.462,1.126,-0.139,1.225
1.3313710689544678,-0.462,1.126,-0.139,1.225
1.3315010070800781,-0.462,1.126,-0.139,1.225
1.3399419784545898,-0.493,1.453,-0.158,1.542
1.3509020805358887,-0.427,1.518,0.007,1.577
1.3610281944274902,-0.24,0.864,0.399,0.981
1.3710660934448242,-0.123,0.722,0.326,0.802
1.381066083908081,-0.041,0.741,0.173,0.762
1.3909800052642822,-0.097,0.732,0.238,0.776
1.4006690979003906,-0.128,0.81,0.152,0.834
1.4312901496887207,-0.154,1.105,-0.052,1.117
1.4317412376403809,-0.154,1.105,-0.052,1.117
1.4320530891418457,-0.154,1.105,-0.052,1.117
1.4395010471343994,-0.158,1.229,0.099,1.243
1.4509260654449463,-0.206,1.223,0.267,1.269
1.4608922004699707,-0.238,1.221,0.316,1.283
1.4706590175628662,-0.211,1.065,0.154,1.097
1.4807591438293457,-0.165,1.0,0.089,1.017
1.4906730651855469,-0.087,0.961,0.124,0.973
1.5012030601501465,-0.043,0.927,0.09,0.932
1.5301690101623535,-0.187,0.544,0.112,0.586
1.5303211212158203,-0.187,0.544,0.112,0.586
