time,gFx,gFy,gFz,gFTotal
0.0013790130615234375,0.002,-0.262,-0.918,0.955
0.0015301704406738281,0.002,-0.262,-0.918,0.955
0.0016629695892333984,0.002,-0.262,-0.918,0.955
0.007730007171630859,-0.019,-0.247,-0.832,0.868
0.017852067947387695,-0.044,-0.224,-0.809,0.841
0.027769088745117188,-0.072,-0.231,-0.87,0.903
0.03967094421386719,-0.0,-0.253,-0.971,1.003
0.049241065979003906,0.057,-0.326,-1.011,1.064
0.05972099304199219,0.085,-0.382,-0.981,1.056
0.06899404525756836,0.091,-0.393,-0.976,1.056
0.09830904006958008,-0.017,-0.333,-0.862,0.924
0.09845900535583496,-0.017,-0.333,-0.862,0.924
0.09859204292297363,-0.017,-0.333,-0.862,0.924
0.10766196250915527,-0.018,-0.323,-0.873,0.931
0.11761713027954102,-0.02,-0.352,-0.884,0.952
0.12887191772460938,-0.014,-0.39,-0.91,0.99
0.13892006874084473,-0.024,-0.423,-0.921,1.014
0.1488971710205078,-0.036,-0.45,-0.882,0.991
0.15925097465515137,-0.053,-0.454,-0.826,0.944
0.16876983642578125,-0.051,-0.397,-0.82,0.912
0.20263195037841797,-0.027,-0.476,-0.816,0.945
0.20278000831604004,-0.027,-0.476,-0.816,0.945
0.2029130458831787,-0.027,-0.476,-0.816,0.945
0.2070000171661377,0.054,-0.459,-0.74,0.872
0.21717405319213867,0.144,-0.408,-0.882,0.982
0.22856712341308594,0.217,-0.328,-1.07,1.14
0.23847484588623047,0.233,-0.277,-1.088,1.147
0.24823284149169922,0.197,-0.38,-0.863,0.963
0.2587270736694336,0.162,-0.516,-0.764,0.936
0.2685229778289795,0.1,-0.519,-0.739,0.909
0.29868412017822266,-0.129,-0.434,-0.77,0.893
0.298828125,-0.129,-0.434,-0.77,0.893
0.29895806312561035,-0.129,-0.434,-0.77,0.893
0.30672407150268555,-0.097,-0.436,-0.859,0.968
0.3183000087738037,-0.082,-0.427,-0.851,0.956
0.3277900218963623,-0.098,-0.408,-0.775,0.881
0.33822011947631836,-0.149,-0.38,-0.681,0.794
0.3480379581451416,-0.191,-0.357,-0.597,0.721
0.3583559989929199,-0.191,-0.356,-0.517,0.656
0.3681831359863281,-0.105,-0.388,-0.529,0.664
0.3994770050048828,-0.189,-0.433,-0.779,0.911
0.3996238708496094,-0.189,-0.433,-0.779,0.911
0.39975500106811523,-0.189,-0.433,-0.779,0.911
0.4062960147857666,-0.426,-0.497,-0.587,0.879
0.4163661003112793,-0.538,-0.606,-0.798,1.137
0.42783117294311523,-0.447,-0.609,-1.105,1.339
0.437838077545166,-0.406,-0.574,-0.975,1.202
0.4477348327636719,-0.314,-0.492,-0.804,0.994
0.4579758644104004,-0.123,-0.416,-0.7,0.824
0.4675259590148926,0.103,-0.442,-0.67,0.809
0.49976491928100586,0.125,-0.682,-0.295,0.754
0.4999070167541504,0.125,-0.682,-0.295,0.754
0.5000391006469727,0.125,-0.682,-0.295,0.754
0.5059289932250977,-0.177,-0.597,-0.069,0.626
0.5175061225891113,-0.521,-0.384,-0.054,0.649
0.5271821022033691,-0.677,-0.111,-0.077,0.69
0.5372490882873535,-0.657,0.065,-0.013,0.66
0.5474238395690918,-0.584,0.157,0.037,0.606
0.5578570365905762,-0.541,0.217,0.042,0.584
0.5673050880432129,-0.515,0.284,-0.026,0.589
0.603769063949585,-0.495,0.329,-0.312,0.671
0.603917121887207,-0.495,0.329,-0.312,0.671
0.60406494140625,-0.495,0.329,-0.312,0.671
0.605443000793457,-0.52,0.286,0.129,0.607
0.6158449649810791,-0.662,0.272,-0.004,0.716
0.6272711753845215,-0.829,0.239,-0.273,0.905
0.6368870735168457,-0.98,0.165,-0.399,1.071
0.6468381881713867,-1.007,0.171,-0.454,1.118
0.6575698852539062,-1.154,0.227,-0.523,1.287
0.6668970584869385,-1.333,0.28,-0.615,1.494
0.6991109848022461,-1.698,0.292,-0.977,1.981
0.6992559432983398,-1.698,0.292,-0.977,1.981
0.6993861198425293,-1.698,0.292,-0.977,1.981
0.7050061225891113,-1.797,0.227,-1.085,2.111
0.7168240547180176,-1.901,0.091,-0.908,2.109
0.7266221046447754,-1.975,-0.055,-0.843,2.148
0.7383880615234375,-2.077,-0.149,-0.882,2.261
0.7476589679718018,-2.162,-0.194,-0.849,2.331
0.7577571868896484,-2.192,-0.227,-0.724,2.32
0.7674670219421387,-2.196,-0.228,-0.582,2.283
0.7943201065063477,-2.121,-0.209,-0.626,2.221
0.794471025466919,-2.121,-0.209,-0.626,2.221
0.7954750061035156,-2.03,-0.187,-0.52,2.104
0.8052520751953125,-1.918,-0.2,-0.523,1.998
0.8146669864654541,-1.654,-0.218,-0.481,1.736
0.8268430233001709,-1.297,-0.281,-0.446,1.4
0.834895133972168,-1.236,-0.334,-0.221,1.299
