time,gFx,gFy,gFz,gFTotal
0.005240917205810547,0.355,0.89,-0.238,0.987
0.01505899429321289,0.359,0.887,-0.244,0.988
0.025079727172851562,0.354,0.887,-0.247,0.986
0.05549788475036621,0.345,0.882,-0.241,0.977
0.05569887161254883,0.345,0.882,-0.241,0.977
0.055879831314086914,0.345,0.882,-0.241,0.977
0.06509971618652344,0.347,0.884,-0.245,0.981
0.07500386238098145,0.35,0.89,-0.243,0.987
0.08514189720153809,0.348,0.897,-0.242,0.992
0.0950016975402832,0.354,0.905,-0.253,1.004
0.10509300231933594,0.36,0.911,-0.254,1.012
0.11519885063171387,0.359,0.911,-0.261,1.013
0.12511587142944336,0.359,0.913,-0.262,1.015
0.15892386436462402,0.359,0.908,-0.254,1.009
0.1591787338256836,0.359,0.908,-0.254,1.009
0.15937185287475586,0.359,0.908,-0.254,1.009
0.16526174545288086,0.361,0.906,-0.254,1.008
0.17510271072387695,0.365,0.906,-0.252,1.009
0.18545103073120117,0.375,0.905,-0.253,1.012
0.19509482383728027,0.381,0.902,-0.253,1.011
0.2052159309387207,0.389,0.902,-0.255,1.015
0.21515893936157227,0.394,0.895,-0.259,1.012
0.2253859043121338,0.391,0.894,-0.26,1.01
0.2612128257751465,0.373,0.89,-0.261,1.0
0.26141786575317383,0.373,0.89,-0.261,1.0
0.2615957260131836,0.373,0.89,-0.261,1.0
0.2651939392089844,0.378,0.893,-0.269,1.006
0.2752389907836914,0.384,0.892,-0.276,1.01
0.28536486625671387,0.376,0.88,-0.278,0.997
0.2949957847595215,0.378,0.871,-0.283,0.991
0.3050258159637451,0.387,0.874,-0.292,0.999
0.31519269943237305,0.389,0.876,-0.301,1.005
0.3249979019165039,0.389,0.879,-0.302,1.008
0.35476088523864746,0.389,0.875,-0.32,1.01
0.35504579544067383,0.393,0.87,-0.333,1.011
0.35656070709228516,0.393,0.87,-0.333,1.011
0.3650379180908203,0.398,0.865,-0.341,1.011
0.3752317428588867,0.403,0.858,-0.353,1.012
0.3853938579559326,0.406,0.845,-0.363,1.005
0.3952207565307617,0.412,0.834,-0.37,1.001
0.4051628112792969,0.42,0.83,-0.383,1.006
0.4157578945159912,0.431,0.839,-0.39,1.021
0.4254307746887207,0.445,0.831,-0.395,1.022
0.46024179458618164,0.468,0.751,-0.363,0.956
0.4604959487915039,0.468,0.751,-0.363,0.956
0.46088171005249023,0.468,0.751,-0.363,0.956
0.46504783630371094,0.454,0.763,-0.356,0.957
0.47507572174072266,0.45,0.781,-0.359,0.97
0.48525571823120117,0.445,0.796,-0.363,0.982
0.49499082565307617,0.459,0.81,-0.37,1.002
0.5051407814025879,0.478,0.816,-0.373,1.017
0.5154757499694824,0.484,0.821,-0.367,1.021
0.5252127647399902,0.488,0.827,-0.352,1.023
0.5560827255249023,0.374,0.839,-0.33,0.976
0.5562818050384521,0.374,0.839,-0.33,0.976
0.5564608573913574,0.374,0.839,-0.33,0.976
0.5656347274780273,0.316,0.831,-0.272,0.93
0.5754899978637695,0.32,0.828,-0.238,0.919
0.5857830047607422,0.333,0.832,-0.239,0.927
0.5953559875488281,0.335,0.84,-0.189,0.924
0.6056818962097168,0.329,0.885,-0.209,0.967
0.6157698631286621,0.327,0.918,-0.238,1.003
0.6255598068237305,0.325,0.901,-0.239,0.987
0.6615519523620605,0.382,0.9,-0.315,1.027
0.6617579460144043,0.382,0.9,-0.315,1.027
0.6619389057159424,0.382,0.9,-0.315,1.027
0.6655728816986084,0.374,0.894,-0.314,1.019
0.6754648685455322,0.359,0.885,-0.316,1.006
0.6858158111572266,0.348,0.866,-0.256,0.968
0.6954679489135742,0.372,0.855,-0.239,0.963
0.7054967880249023,0.355,0.781,-0.273,0.9
0.715742826461792,0.34,0.723,-0.279,0.846
0.725679874420166,0.364,0.742,-0.275,0.871
0.761786937713623,0.474,0.764,-0.31,0.951
0.7619919776916504,0.474,0.764,-0.31,0.951
0.7621707916259766,0.474,0.764,-0.31,0.951
0.7656807899475098,0.485,0.747,-0.318,0.946
0.7755308151245117,0.495,0.735,-0.323,0.943
0.7855768203735352,0.503,0.75,-0.342,0.966
