time,gFx,gFy,gFz,gFTotal
0.001958131790161133,0.517,0.797,-0.233,0.978
0.0260469913482666,0.518,0.821,-0.196,0.99
0.026185035705566406,0.518,0.821,-0.196,0.99
0.03139901161193848,0.523,0.816,-0.196,0.989
0.04140019416809082,0.515,0.812,-0.198,0.982
0.05141091346740723,0.508,0.82,-0.194,0.984
0.0614321231842041,0.5,0.822,-0.198,0.982
0.07150506973266602,0.496,0.816,-0.198,0.975
0.08134913444519043,0.504,0.819,-0.201,0.982
0.09142899513244629,0.513,0.819,-0.197,0.986
0.10158705711364746,0.528,0.821,-0.196,0.996
0.12690520286560059,0.552,0.827,-0.207,1.016
0.12705111503601074,0.552,0.827,-0.207,1.016
0.13147306442260742,0.551,0.819,-0.208,1.009
0.14147019386291504,0.548,0.813,-0.205,1.002
0.1514589786529541,0.545,0.811,-0.204,0.998
0.16155219078063965,0.549,0.81,-0.206,1.0
0.17143797874450684,0.556,0.811,-0.214,1.006
0.18143200874328613,0.562,0.817,-0.215,1.015
0.19146203994750977,0.571,0.822,-0.211,1.023
0.2016441822052002,0.576,0.823,-0.211,1.026
0.22489094734191895,0.575,0.826,-0.209,1.028
0.2251300811767578,0.575,0.826,-0.209,1.028
0.23152709007263184,0.57,0.828,-0.213,1.028
0.2414848804473877,0.568,0.823,-0.211,1.022
0.25221991539001465,0.563,0.819,-0.203,1.014
0.26151585578918457,0.563,0.823,-0.195,1.016
0.2716081142425537,0.569,0.833,-0.198,1.028
0.28157687187194824,0.578,0.84,-0.211,1.041
0.29151105880737305,0.58,0.838,-0.212,1.041
0.30185818672180176,0.581,0.836,-0.203,1.038
0.32551002502441406,0.569,0.818,-0.201,1.017
0.32563185691833496,0.569,0.818,-0.201,1.017
0.3316199779510498,0.561,0.814,-0.202,1.009
0.34159111976623535,0.559,0.812,-0.201,1.006
0.35184693336486816,0.568,0.814,-0.195,1.012
0.36165595054626465,0.57,0.809,-0.194,1.008
0.37163710594177246,0.561,0.8,-0.203,0.998
0.3816840648651123,0.55,0.787,-0.21,0.983
0.39163804054260254,0.55,0.786,-0.208,0.982
0.4017188549041748,0.555,0.789,-0.205,0.986
0.4255349636077881,0.527,0.777,-0.176,0.955
0.4256770610809326,0.527,0.777,-0.176,0.955
0.4316680431365967,0.519,0.784,-0.17,0.955
0.4416501522064209,0.519,0.803,-0.175,0.972
0.4517819881439209,0.521,0.816,-0.173,0.983
0.4616580009460449,0.521,0.821,-0.164,0.986
0.4717738628387451,0.502,0.817,-0.152,0.971
0.4818389415740967,0.482,0.807,-0.138,0.95
0.4917299747467041,0.463,0.818,-0.118,0.947
0.5017130374908447,0.451,0.836,-0.123,0.958
0.52413010597229,0.439,0.833,-0.104,0.947
0.5242540836334229,0.439,0.833,-0.104,0.947
0.5318949222564697,0.438,0.82,-0.101,0.935
0.5417799949645996,0.445,0.818,-0.101,0.937
0.5519349575042725,0.453,0.834,-0.103,0.955
