time,gFx,gFy,gFz,gFTotal
0.006757974624633789,0.357,0.96,-0.043,1.025
0.011525869369506836,0.358,0.967,-0.005,1.031
0.0372920036315918,0.347,0.926,-0.015,0.989
0.03745603561401367,0.347,0.926,-0.015,0.989
0.040817975997924805,0.338,0.927,-0.007,0.987
0.051046133041381836,0.34,0.925,-0.008,0.986
0.06075406074523926,0.343,0.932,-0.019,0.993
0.07094097137451172,0.333,0.934,-0.028,0.992
0.08085799217224121,0.327,0.936,-0.025,0.992
0.0910799503326416,0.329,0.938,-0.027,0.994
0.10127902030944824,0.333,0.934,-0.038,0.992
0.11098098754882812,0.338,0.928,-0.052,0.989
0.145888090133667,0.38,0.94,-0.058,1.016
0.14615988731384277,0.38,0.94,-0.058,1.016
0.1463470458984375,0.38,0.94,-0.058,1.016
0.15195488929748535,0.391,0.944,-0.062,1.024
0.16095709800720215,0.396,0.94,-0.057,1.022
0.17099213600158691,0.396,0.93,-0.062,1.013
0.18093204498291016,0.405,0.91,-0.085,1.0
0.19110608100891113,0.402,0.922,-0.047,1.007
0.20137715339660645,0.399,0.921,-0.027,1.004
0.21116185188293457,0.391,0.928,-0.031,1.007
0.24619698524475098,0.373,0.924,-0.061,0.998
0.2464001178741455,0.373,0.924,-0.061,0.998
0.24657988548278809,0.373,0.924,-0.061,0.998
0.2511131763458252,0.368,0.934,-0.056,1.005
0.2610499858856201,0.365,0.955,-0.045,1.023
0.2711760997772217,0.36,0.968,-0.036,1.033
0.2812020778656006,0.357,0.97,-0.029,1.034
0.2912790775299072,0.353,0.962,-0.032,1.025
0.301677942276001,0.347,0.952,-0.029,1.014
0.3111751079559326,0.351,0.919,-0.021,0.984
0.3462259769439697,0.315,0.919,0.003,0.971
0.34643101692199707,0.315,0.919,0.003,0.971
0.34661102294921875,0.315,0.919,0.003,0.971
0.3511841297149658,0.293,0.926,-0.017,0.971
0.3609621524810791,0.279,0.937,-0.051,0.979
0.3713960647583008,0.264,0.968,-0.036,1.004
0.38125109672546387,0.253,0.985,-0.0,1.017
0.3913581371307373,0.246,0.963,-0.018,0.994
0.4017510414123535,0.231,0.934,-0.023,0.962
0.4113328456878662,0.235,0.911,0.001,0.941
0.4461970329284668,0.141,0.765,-0.011,0.778
0.44641804695129395,0.141,0.765,-0.011,0.778
0.44659996032714844,0.141,0.765,-0.011,0.778
0.45165514945983887,0.204,0.769,0.047,0.797
0.46121811866760254,0.279,0.791,0.104,0.845
0.47147703170776367,0.364,0.829,0.17,0.921
0.482043981552124,0.439,0.868,0.218,0.997
0.49129199981689453,0.532,0.899,0.214,1.066
0.5015618801116943,0.611,0.898,0.199,1.104
0.5115048885345459,0.667,0.869,0.179,1.11
0.5510571002960205,0.792,0.817,0.011,1.138
0.5513899326324463,0.792,0.817,0.011,1.138
0.5516278743743896,0.792,0.817,0.011,1.138
0.5537149906158447,0.792,0.817,0.011,1.138
0.5612189769744873,0.769,0.848,-0.014,1.145
0.5714828968048096,0.737,0.889,-0.013,1.155
0.5821540355682373,0.692,0.912,0.007,1.145
0.591447114944458,0.618,0.902,0.034,1.094
0.6013071537017822,0.538,0.881,0.06,1.034
0.6113741397857666,0.484,0.87,0.083,0.999
0.6463220119476318,0.471,0.885,0.115,1.009
0.6465198993682861,0.471,0.885,0.115,1.009
0.646697998046875,0.471,0.885,0.115,1.009
0.6513941287994385,0.484,0.884,0.113,1.014
0.6613471508026123,0.493,0.879,0.119,1.015
0.6714940071105957,0.502,0.875,0.122,1.016
0.6816718578338623,0.511,0.872,0.119,1.018
0.6916489601135254,0.516,0.868,0.117,1.017
0.7015230655670166,0.517,0.864,0.116,1.014
0.7114579677581787,0.516,0.86,0.112,1.009
0.7464840412139893,0.513,0.854,0.122,1.004
