time,gFx,gFy,gFz,gFTotal
0.0016901493072509766,0.675,0.836,0.126,1.082
0.023153066635131836,0.655,0.84,-0.094,1.069
0.023298025131225586,0.655,0.84,-0.094,1.069
0.027163028717041016,0.618,0.816,-0.181,1.039
0.03725004196166992,0.559,0.767,-0.28,0.99
0.04725384712219238,0.472,0.743,-0.342,0.944
0.05780816078186035,0.461,0.719,-0.351,0.923
0.06737112998962402,0.516,0.668,-0.287,0.892
0.07735896110534668,0.548,0.641,-0.226,0.873
0.08734488487243652,0.536,0.61,-0.18,0.832
0.12141203880310059,0.489,0.574,-0.199,0.78
0.12155604362487793,0.489,0.574,-0.199,0.78
0.12168192863464355,0.489,0.574,-0.199,0.78
0.1273510456085205,0.484,0.594,-0.234,0.801
0.13733506202697754,0.484,0.618,-0.248,0.823
0.1474149227142334,0.493,0.625,-0.254,0.836
0.15731406211853027,0.511,0.611,-0.236,0.831
0.16745209693908691,0.528,0.575,-0.205,0.807
0.17731904983520508,0.573,0.581,-0.188,0.837
0.18742108345031738,0.615,0.586,-0.163,0.865
0.22055697441101074,0.631,0.584,-0.193,0.881
0.22069716453552246,0.631,0.584,-0.193,0.881
0.22082209587097168,0.631,0.584,-0.193,0.881
0.22731804847717285,0.618,0.581,-0.225,0.878
0.23740601539611816,0.617,0.594,-0.261,0.895
0.247359037399292,0.622,0.612,-0.291,0.92
0.2574470043182373,0.639,0.614,-0.309,0.939
0.2675511837005615,0.664,0.631,-0.298,0.963
0.2774169445037842,0.687,0.661,-0.286,0.995
0.2875840663909912,0.709,0.701,-0.293,1.039
0.3202998638153076,0.817,0.786,-0.281,1.168
0.32044506072998047,0.817,0.786,-0.281,1.168
0.3205740451812744,0.817,0.786,-0.281,1.168
0.32741618156433105,0.844,0.79,-0.273,1.188
0.33748316764831543,0.859,0.781,-0.285,1.195
0.3476579189300537,0.856,0.768,-0.306,1.19
0.3575479984283447,0.858,0.769,-0.327,1.198
0.3674929141998291,0.87,0.755,-0.317,1.195
0.3774878978729248,0.857,0.774,-0.287,1.19
0.38759303092956543,0.842,0.807,-0.273,1.198
0.41922903060913086,0.788,0.994,-0.142,1.276
0.4193990230560303,0.788,0.994,-0.142,1.276
0.4195520877838135,0.788,0.994,-0.142,1.276
0.42752504348754883,0.743,1.056,-0.081,1.294
