time;gFx;gFy;gFz;TgF
0.004764011;-0,2720;-0,1215;0,8893;0,938
0.004990938;-0,2830;-0,1159;0,8820;0,934
0.0051825;-0,3016;-0,1088;0,8693;0,926
0.005387813;-0,3165;-0,1056;0,8431;0,907
0.005565365;-0,3314;-0,1022;0,8089;0,880
0.005752813;-0,3480;-0,0980;0,7647;0,846
0.005933125;-0,3551;-0,0956;0,7207;0,809
0.006130782;-0,3602;-0,0951;0,6885;0,783
0.006314219;-0,3658;-0,0966;0,6707;0,770
0.00651724;-0,3695;-0,0997;0,6626;0,765
0.009757865;-0,3744;-0,0980;0,6585;0,764
0.00998099;-0,3849;-0,0975;0,6585;0,769
0.014576667;-0,3956;-0,0973;0,6619;0,777
0.0147775;-0,4057;-0,0985;0,6670;0,787
0.025757605;-0,4188;-0,0988;0,6716;0,798
0.026024428;-0,4350;-0,1015;0,6785;0,812
0.02619974;-0,4462;-0,1068;0,6829;0,823
0.026359167;-0,4626;-0,1083;0,6838;0,833
0.030057553;-0,4765;-0,1120;0,6958;0,851
0.030311459;-0,4870;-0,1176;0,7063;0,866
0.034119844;-0,4963;-0,1227;0,7176;0,881
0.034299636;-0,5046;-0,1303;0,7242;0,892
0.038935313;-0,5114;-0,1381;0,7298;0,902
0.039136407;-0,5173;-0,1457;0,7344;0,910
0.04929875;-0,5192;-0,1559;0,7317;0,911
0.049630365;-0,5158;-0,1704;0,7269;0,907
0.049869115;-0,5055;-0,1865;0,7207;0,900
0.05011099;-0,4931;-0,2063;0,7166;0,894
0.053453282;-0,4755;-0,2253;0,7164;0,889
0.05374948;-0,4543;-0,2471;0,7166;0,884
0.058272605;-0,4352;-0,2634;0,7156;0,878
0.058523907;-0,4157;-0,2817;0,7144;0,873
0.065992813;-0,3941;-0,2996;0,7127;0,868
0.066381719;-0,3763;-0,3169;0,7063;0,861
0.067978438;-0,3578;-0,3360;0,6992;0,854
0.068285469;-0,3404;-0,3533;0,6909;0,847
0.07285573;-0,3231;-0,3670;0,6826;0,840
0.073125261;-0,3111;-0,3826;0,6736;0,835
0.077799375;-0,2982;-0,3961;0,6614;0,827
0.078091823;-0,2867;-0,4088;0,6506;0,820
0.082171511;-0,2735;-0,4215;0,6413;0,815
0.082476042;-0,2605;-0,4320;0,6352;0,811
0.087259844;-0,2510;-0,4396;0,6308;0,809
0.087561875;-0,2422;-0,4508;0,6333;0,814
0.092096042;-0,2381;-0,4547;0,6338;0,816
0.092545365;-0,2378;-0,4527;0,6311;0,812
0.097450157;-0,2429;-0,4493;0,6277;0,809
0.097755313;-0,2552;-0,4403;0,6301;0,810
0.102749584;-0,2779;-0,4293;0,6289;0,811
0.103026459;-0,2955;-0,4195;0,6238;0,808
0.106627657;-0,3184;-0,4093;0,6259;0,813
0.106898282;-0,3419;-0,4002;0,6286;0,820
0.111901823;-0,3622;-0,3934;0,6313;0,827
0.112320417;-0,3797;-0,3905;0,6303;0,833
0.116720209;-0,4000;-0,3914;0,6223;0,837
0.117003698;-0,4210;-0,3919;0,6169;0,843
0.121198698;-0,4423;-0,3961;0,6135;0,854
0.121550573;-0,4584;-0,4039;0,6133;0,866
0.126132396;-0,4772;-0,4127;0,6096;0,877
0.126414896;-0,4948;-0,4247;0,6035;0,888
0.130954167;-0,5124;-0,4349;0,5964;0,899
0.131242605;-0,5278;-0,4449;0,5915;0,909
0.135923178;-0,5407;-0,4567;0,5854;0,918
0.136212553;-0,5561;-0,4664;0,5773;0,927
0.150917136;-0,5771;-0,4772;0,5734;0,943
0.151307917;-0,5984;-0,4845;0,5659;0,956
0.151762917;-0,6233;-0,4874;0,5612;0,970
0.152032448;-0,6509;-0,4879;0,5541;0,984
0.15237198;-0,6820;-0,4884;0,5463;1,001
0.152652396;-0,7108;-0,4865;0,5424;1,018
0.155712084;-0,7366;-0,4872;0,5344;1,032
0.15605448;-0,7557;-0,4874;0,5302;1,044
0.16012099;-0,7699;-0,4879;0,5263;1,053
0.160346563;-0,7765;-0,4928;0,5253;1,059
0.1680875;-0,7777;-0,4992;0,5277;1,064
0.168391719;-0,7728;-0,5067;0,5344;1,068
0.169593907;-0,7633;-0,5111;0,5409;1,066
0.169866719;-0,7560;-0,5119;0,5493;1,065
0.175297605;-0,7550;-0,5097;0,5600;1,069
0.175563803;-0,7513;-0,5077;0,5737;1,073
0.17948849;-0,7482;-0,5023;0,5891;1,077
0.179725938;-0,7450;-0,5011;0,6047;1,082
0.184175261;-0,7411;-0,5019;0,6140;1,085
0.184355938;-0,7371;-0,5099;0,6154;1,087
0.189234375;-0,7357;-0,5285;0,6076;1,091
0.189550313;-0,7296;-0,5495;0,5910;1,088
0.194122553;-0,7286;-0,5747;0,5695;1,089
0.194394636;-0,7279;-0,6018;0,5485;1,092
0.199312657;-0,7298;-0,6289;0,5331;1,101
0.199587344;-0,7323;-0,6570;0,5194;1,112
0.204020365;-0,7369;-0,6836;0,5199;1,132
0.204191615;-0,7489;-0,7076;0,5277;1,158
0.209316146;-0,7604;-0,7288;0,5368;1,182
0.209576771;-0,7723;-0,7445;0,5580;1,209
0.213809063;-0,7862;-0,7616;0,5781;1,238
0.213987396;-0,8036;-0,7738;0,5908;1,262
0.218006355;-0,8212;-0,7882;0,5876;1,281
0.218252761;-0,8446;-0,8046;0,5805;1,303
0.223493282;-0,8705;-0,8173;0,5773;1,326
0.223815261;-0,8972;-0,8309;0,5739;1,351
0.227905521;-0,9231;-0,8392;0,5749;1,374
0.228174375;-0,9555;-0,8448;0,5702;1,397
0.233361094;-0,9917;-0,8466;0,5724;1,424
0.233708698;-1,0313;-0,8478;0,5883;1,459
0.237980469;-1,0760;-0,8434;0,6137;1,499
0.238213542;-1,1226;-0,8341;0,6330;1,535
0.250569636;-1,1700;-0,8234;0,6467;1,570
0.250955521;-1,2174;-0,8041;0,6582;1,601
0.251222605;-1,2624;-0,7830;0,6641;1,627
0.251495209;-1,3073;-0,7611;0,6768;1,657
0.251747761;-1,3479;-0,7364;0,6951;1,686
0.252013698;-1,3806;-0,7129;0,7229;1,714
0.27511349;-1,4063;-0,6900;0,7430;1,734
0.275521459;-1,4317;-0,6704;0,7527;1,751
0.275782292;-1,4510;-0,6528;0,7579;1,762
0.276053594;-1,4600;-0,6406;0,7559;1,764
0.276318542;-1,4620;-0,6282;0,7571;1,762
0.276568594;-1,4542;-0,6174;0,7606;1,753
0.276833438;-1,4434;-0,6128;0,7723;1,748
0.277115261;-1,4322;-0,6037;0,7889;1,743
0.277409688;-1,4165;-0,5932;0,8028;1,733
0.277678334;-1,4024;-0,5798;0,8177;1,724
0.281294844;-1,3887;-0,5673;0,8361;1,717
0.281655469;-1,3699;-0,5580;0,8502;1,706
0.287007292;-1,3503;-0,5497;0,8588;1,692
0.287375313;-1,3276;-0,5431;0,8568;1,671
0.291442552;-1,3081;-0,5439;0,8592;1,657
0.291751719;-1,2783;-0,5390;0,8505;1,627
0.297404844;-1,2470;-0,5358;0,8451;1,599
0.297616459;-1,2133;-0,5283;0,8324;1,563
0.300628177;-1,1774;-0,5248;0,8192;1,527
0.300851771;-1,1403;-0,5175;0,8072;1,490
0.305289896;-1,1029;-0,5060;0,8001;1,453
0.305494167;-1,0662;-0,4999;0,8026;1,425
0.310619532;-1,0269;-0,4914;0,8106;1,398
0.310949323;-0,9851;-0,4852;0,8258;1,374
0.315356094;-0,9428;-0,4769;0,8414;1,351
0.315725886;-0,8937;-0,4694;0,8546;1,323
0.320271094;-0,8476;-0,4645;0,8676;1,299
0.32062198;-0,7963;-0,4594;0,8778;1,271
0.325345365;-0,7425;-0,4606;0,8832;1,242
0.3256425;-0,6925;-0,4586;0,8915;1,218
0.331306355;-0,6443;-0,4603;0,8954;1,195
0.331656875;-0,5920;-0,4657;0,9079;1,180
0.334863073;-0,5378;-0,4765;0,9220;1,169
0.335172813;-0,4943;-0,4840;0,9333;1,162
0.339461302;-0,4616;-0,4899;0,9311;1,149
0.339730417;-0,4340;-0,4972;0,9311;1,141
0.344475521;-0,4115;-0,4953;0,9362;1,136
0.344800209;-0,3956;-0,4965;0,9352;1,130
0.349410625;-0,3797;-0,4955;0,9384;1,127
0.349697032;-0,3670;-0,4943;0,9445;1,127
0.362062813;-0,3570;-0,4936;0,9472;1,126
0.362702605;-0,3509;-0,4940;0,9438;1,122
0.362974063;-0,3438;-0,4957;0,9431;1,120
0.363293646;-0,3328;-0,4955;0,9511;1,123
0.363575469;-0,3238;-0,4960;0,9584;1,127
0.363837084;-0,3145;-0,4997;0,9643;1,131
0.368503802;-0,3133;-0,5031;0,9711;1,138
0.368696823;-0,3135;-0,4992;0,9709;1,136
0.373627396;-0,3223;-0,4950;0,9650;1,131
0.373795209;-0,3343;-0,4848;0,9643;1,130
0.378534688;-0,3512;-0,4767;0,9616;1,129
0.379082813;-0,3763;-0,4662;0,9726;1,142
0.383390313;-0,4071;-0,4503;0,9836;1,156
0.383659375;-0,4413;-0,4320;0,9790;1,157
0.39008599;-0,4833;-0,4469;1,2882;1,447
0.390643907;-0,5757;-0,4020;1,1964;1,387
0.392987917;-0,6213;-0,3773;1,2088;1,411
0.393224636;-0,6560;-0,3621;1,1898;1,406
0.397631563;-0,6885;-0,3531;1,1771;1,409
0.398122084;-0,7220;-0,3436;1,1461;1,397
0.402686615;-0,7438;-0,3399;1,0877;1,361
0.402904948;-0,7609;-0,3362;1,0193;1,316
0.40704224;-0,7858;-0,3348;0,9475;1,276
0.407236771;-0,8031;-0,3382;0,8531;1,220
0.412678177;-0,8134;-0,3389;0,7305;1,145
0.413398802;-0,8209;-0,3433;0,5988;1,073
0.417166511;-0,8239;-0,3458;0,4887;1,018
0.417439636;-0,8275;-0,3550;0,3868;0,980
0.422470886;-0,8300;-0,3660;0,2949;0,954
