time;gFx;gFy;gFz;TgF
7.88073E-4;-0,2830;0,2784;0,9367;1,017
0.00100651;-0,2793;0,2821;0,9428;1,023
0.004096302;-0,2759;0,2830;0,9565;1,035
0.004319635;-0,2698;0,2857;0,9658;1,043
0.010539166;-0,2671;0,2857;0,9748;1,050
0.010749635;-0,2669;0,2909;0,9853;1,061
0.013065937;-0,2676;0,2924;1,0002;1,076
0.0132425;-0,2652;0,2936;1,0102;1,085
0.018002552;-0,2613;0,2965;1,0229;1,097
0.018214114;-0,2595;0,2975;1,0310;1,104
0.02357276;-0,2588;0,2955;1,0405;1,112
0.023700937;-0,2559;0,2960;1,0484;1,119
0.027931979;-0,2544;0,2960;1,0545;1,124
0.028110052;-0,2542;0,2926;1,0525;1,122
0.032399479;-0,2566;0,2916;1,0488;1,118
0.032554583;-0,2547;0,2899;1,0466;1,116
0.037268698;-0,2583;0,2882;1,0410;1,111
0.037408593;-0,2595;0,2860;1,0354;1,105
0.042107656;-0,2600;0,2840;1,0310;1,101
0.042324791;-0,2569;0,2794;1,0259;1,094
0.047006614;-0,2539;0,2801;1,0244;1,092
0.047146198;-0,2520;0,2757;1,0222;1,088
0.051824062;-0,2503;0,2740;1,0185;1,084
0.052010104;-0,2481;0,2691;1,0132;1,077
0.056649062;-0,2478;0,2669;1,0093;1,073
0.05677276;-0,2476;0,2623;1,0083;1,071
0.061810937;-0,2461;0,2594;1,0046;1,066
0.061985052;-0,2469;0,2586;1,0063;1,068
0.066853437;-0,2439;0,2555;1,0083;1,068
0.067043802;-0,2427;0,2535;1,0110;1,070
0.071260885;-0,2376;0,2542;1,0105;1,069
0.071460156;-0,2376;0,2540;1,0119;1,070
0.076283854;-0,2307;0,2542;1,0190;1,075
0.076482812;-0,2273;0,2537;1,0205;1,076
0.08091875;-0,2263;0,2535;1,0273;1,082
0.081076927;-0,2224;0,2552;1,0298;1,084
0.090625208;-0,2205;0,2545;1,0310;1,085
0.090833854;-0,2183;0,2574;1,0359;1,089
