time;gFx;gFy;gFz;TgF
0.004458281;-0,1689;0,0669;0,9992;1,016
0.004732761;-0,1758;0,0710;1,0068;1,025
0.004923906;-0,1860;0,0771;1,0154;1,035
0.005124896;-0,1946;0,0840;1,0256;1,047
0.007354115;-0,1999;0,0910;1,0310;1,054
0.00750724;-0,2051;0,1008;1,0351;1,060
0.013288177;-0,2060;0,1089;1,0315;1,057
0.013517656;-0,2051;0,1155;1,0227;1,049
0.016408386;-0,2053;0,1209;1,0107;1,038
0.016583906;-0,2058;0,1231;0,9944;1,023
0.021279636;-0,2043;0,1253;0,9829;1,012
0.021551146;-0,2048;0,1243;0,9643;0,994
0.026509011;-0,2024;0,1201;0,9467;0,976
0.026760834;-0,2004;0,1199;0,9294;0,958
0.032615781;-0,1975;0,1174;0,9157;0,944
0.033032292;-0,1963;0,1155;0,9064;0,935
0.036116927;-0,1953;0,1155;0,9003;0,928
0.036334636;-0,1968;0,1164;0,8986;0,927
0.042045886;-0,1985;0,1162;0,8961;0,925
0.042266094;-0,2007;0,1226;0,9020;0,932
0.04549724;-0,2014;0,1240;0,9152;0,945
0.045700261;-0,2051;0,1248;0,9286;0,959
0.050374844;-0,2056;0,1311;0,9406;0,972
0.050661042;-0,2095;0,1360;0,9562;0,988
0.055880208;-0,2197;0,1582;1,0088;1,044
0.056118542;-0,2212;0,1687;1,0220;1,059
0.060166458;-0,2205;0,1719;1,0195;1,057
0.060356511;-0,2192;0,1638;1,0124;1,049
0.066154948;-0,2124;0,1568;1,0100;1,044
0.066512188;-0,2065;0,1546;1,0097;1,042
0.070512344;-0,1980;0,1553;1,0100;1,041
0.070799896;-0,1912;0,1531;1,0124;1,042
0.076995938;-0,1850;0,1509;1,0063;1,034
0.077301302;-0,1814;0,1514;1,0000;1,028
0.080186094;-0,1714;0,1480;0,9900;1,016
0.080600938;-0,1682;0,1445;0,9799;1,005
0.087977136;-0,1640;0,1375;0,9670;0,990
0.088317604;-0,1582;0,1318;0,9548;0,977
0.092091823;-0,1550;0,1238;0,9428;0,963
0.092353698;-0,1494;0,1157;0,9281;0,947
0.094881511;-0,1486;0,1084;0,9152;0,933
0.095143698;-0,1450;0,1018;0,9042;0,921
0.099653386;-0,1420;0,0920;0,8944;0,910
0.099990938;-0,1372;0,0866;0,8861;0,901
0.104569688;-0,1376;0,0845;0,8715;0,886
0.104784636;-0,1369;0,0820;0,8764;0,891
0.108385469;-0,1345;0,0764;0,8771;0,891
0.108605104;-0,1318;0,0752;0,8766;0,890
0.113553333;-0,1313;0,0749;0,8830;0,896
0.113758021;-0,1335;0,0718;0,8927;0,906
0.119323438;-0,1313;0,0700;0,9040;0,916
0.119579323;-0,1330;0,0737;0,9062;0,919
