time;gFx;gFy;gFz;TgF
0.001070417;-0,1543;0,4656;0,7874;0,928
0.001333594;-0,1582;0,4709;0,7948;0,937
0.001463438;-0,1616;0,4746;0,8062;0,949
0.001589167;-0,1611;0,4792;0,8214;0,965
0.005564844;-0,1574;0,4831;0,8368;0,979
0.005815469;-0,1518;0,4897;0,8529;0,995
0.009392761;-0,1491;0,4966;0,8690;1,012
0.009605834;-0,1503;0,5019;0,8876;1,031
0.014537031;-0,1648;0,5102;0,8996;1,047
0.01473875;-0,1980;0,5196;0,9054;1,063
0.018898073;-0,1977;0,5230;0,9049;1,064
0.019105677;-0,1758;0,5232;0,9040;1,059
0.023559584;-0,1670;0,5296;0,9047;1,062
0.023685573;-0,1863;0,5398;0,8964;1,063
0.028775729;-0,2036;0,5491;0,8871;1,063
0.029093125;-0,1982;0,5601;0,8759;1,058
0.033541979;-0,1770;0,5757;0,8742;1,062
0.033810834;-0,1660;0,5897;0,8788;1,071
0.0439275;-0,1885;0,6011;0,9032;1,101
0.044372656;-0,1941;0,6121;0,9279;1,128
0.044538906;-0,2068;0,6185;0,9487;1,151
0.044722604;-0,2209;0,6207;0,9667;1,170
0.048835521;-0,2366;0,6194;0,9843;1,187
0.049195261;-0,2508;0,6121;0,9992;1,198
0.053050417;-0,2586;0,5960;1,0154;1,205
0.053273854;-0,2674;0,5779;1,0339;1,214
0.057701667;-0,2718;0,5576;1,0554;1,224
0.057931875;-0,2793;0,5393;1,0825;1,241
0.063414427;-0,2884;0,5191;1,1153;1,264
0.063842708;-0,3008;0,4966;1,1492;1,288
0.067610938;-0,3140;0,4675;1,1915;1,318
0.067924844;-0,3201;0,4362;1,2247;1,339
0.072564427;-0,3155;0,4055;1,2538;1,355
0.072928177;-0,2999;0,3774;1,2780;1,366
0.077497188;-0,2791;0,3559;1,3114;1,387
0.078075469;-0,2561;0,3383;1,3457;1,411
0.082530625;-0,2361;0,3295;1,3728;1,431
0.082984948;-0,2544;0,3798;1,3393;1,415
0.087173802;-0,2547;0,4208;1,2983;1,388
0.087548542;-0,2349;0,4323;1,3034;1,393
0.093667604;-0,2226;0,4387;1,3083;1,398
0.093982604;-0,2178;0,4460;1,3158;1,406
0.096622761;-0,2097;0,4497;1,3163;1,407
0.096851042;-0,2063;0,4416;1,3163;1,404
0.101306198;-0,2068;0,4343;1,3112;1,397
0.101473073;-0,2102;0,4245;1,3039;1,387
0.106583281;-0,2185;0,4133;1,2944;1,376
0.106981563;-0,2256;0,4018;1,2856;1,366
0.111229011;-0,2351;0,3891;1,2726;1,351
0.111432865;-0,2449;0,3749;1,2628;1,340
0.116139948;-0,2539;0,3637;1,2560;1,332
0.116441354;-0,2657;0,3593;1,2416;1,320
0.120974792;-0,2796;0,3551;1,2264;1,307
0.121280833;-0,2891;0,3534;1,2052;1,289
0.135395313;-0,2923;0,3490;1,1795;1,264
0.13603224;-0,2906;0,3449;1,1461;1,232
0.136308073;-0,2960;0,3446;1,1146;1,204
0.136588281;-0,3006;0,3444;1,0828;1,175
0.136839844;-0,3091;0,3471;1,0532;1,151
0.137111354;-0,3143;0,3542;1,0315;1,135
