time,gFx,gFy,gFz,gFTotal
0.005979061126708984,-0.106,-0.246,-0.934,0.972
0.015347957611083984,-0.082,-0.254,-0.923,0.961
0.040207862854003906,-0.054,-0.281,-0.928,0.971
0.04049396514892578,-0.054,-0.281,-0.928,0.971
0.04466390609741211,-0.069,-0.296,-0.974,1.02
0.0547947883605957,-0.096,-0.304,-1.025,1.073
0.06518793106079102,-0.127,-0.314,-1.07,1.122
0.07546091079711914,-0.153,-0.333,-1.095,1.155
0.08654189109802246,-0.166,-0.337,-1.096,1.159
0.09612393379211426,-0.157,-0.343,-1.083,1.147
0.10592508316040039,-0.138,-0.367,-1.066,1.136
0.11598396301269531,-0.105,-0.383,-1.08,1.151
0.14432907104492188,0.012,-0.361,-1.194,1.247
0.1447300910949707,0.012,-0.361,-1.194,1.247
0.1473407745361328,0.062,-0.326,-1.233,1.277
0.15592193603515625,0.024,-0.237,-1.147,1.171
0.16596388816833496,0.096,-0.244,-0.929,0.965
0.1766958236694336,0.122,-0.252,-0.639,0.698
0.18669986724853516,0.089,-0.201,-0.397,0.454
0.19675683975219727,0.308,-0.401,-0.313,0.595
0.2068309783935547,0.385,-0.405,-0.361,0.665
0.21694588661193848,0.347,-0.327,-0.433,0.644
0.24361586570739746,0.372,-0.372,-0.659,0.843
0.2439579963684082,0.372,-0.372,-0.659,0.843
0.2463240623474121,0.403,-0.468,-0.738,0.962
0.25678205490112305,0.413,-0.506,-0.702,0.959
0.2668778896331787,0.407,-0.518,-0.64,0.918
0.27764081954956055,0.316,-0.509,-0.603,0.85
0.2876420021057129,0.386,-0.438,-0.598,0.836
0.2972109317779541,0.48,-0.352,-0.624,0.862
0.30748605728149414,0.561,-0.299,-0.739,0.975
0.3172740936279297,0.558,-0.273,-0.873,1.071
0.3431878089904785,0.228,-0.112,-0.934,0.968
0.34342193603515625,0.228,-0.112,-0.934,0.968
0.3470618724822998,0.188,-0.165,-0.965,0.997
0.3576979637145996,0.156,-0.19,-1.016,1.045
0.3672208786010742,0.06,-0.217,-1.134,1.156
0.3781599998474121,-0.042,-0.193,-1.266,1.281
0.3878779411315918,-0.051,-0.145,-1.372,1.381
0.3979029655456543,0.021,-0.159,-1.419,1.428
0.4083700180053711,0.07,-0.171,-1.324,1.337
0.4179239273071289,0.145,-0.169,-1.167,1.188
0.4448869228363037,0.039,-0.355,-0.924,0.991
0.44519686698913574,0.039,-0.355,-0.924,0.991
0.44747304916381836,-0.047,-0.385,-0.916,0.995
0.45805788040161133,-0.17,-0.344,-0.944,1.019
0.4684410095214844,-0.304,-0.284,-0.986,1.07
0.4779648780822754,-0.385,-0.305,-1.03,1.141
0.48818087577819824,-0.417,-0.318,-1.02,1.147
0.49821996688842773,-0.263,-0.387,-1.008,1.111
0.5089759826660156,-0.022,-0.545,-0.948,1.094
0.5186357498168945,0.657,-0.939,-0.854,1.429
0.5446009635925293,0.314,-0.514,-0.699,0.923
0.5448789596557617,0.314,-0.514,-0.699,0.923
0.54827880859375,-0.112,-0.221,-0.691,0.734
0.5589480400085449,-0.137,-0.36,-0.814,0.901
0.5684680938720703,-0.115,-0.477,-0.927,1.049
0.5794358253479004,-0.128,-0.463,-0.971,1.083
0.5894770622253418,-0.145,-0.384,-0.941,1.027
0.5998129844665527,-0.087,-0.361,-0.899,0.973
0.609442949295044,-0.023,-0.366,-0.849,0.925
0.6193528175354004,0.013,-0.36,-0.798,0.876
0.6455988883972168,0.007,-0.349,-0.789,0.863
0.6459097862243652,0.007,-0.349,-0.789,0.863
0.6488747596740723,-0.023,-0.367,-0.797,0.878
0.659782886505127,-0.048,-0.379,-0.824,0.908
0.6701288223266602,-0.051,-0.372,-0.867,0.945
0.6801469326019287,-0.041,-0.358,-0.904,0.973
0.6902379989624023,-0.035,-0.346,-0.925,0.988
0.6999478340148926,-0.026,-0.332,-0.931,0.989
0.7103710174560547,-0.015,-0.311,-0.915,0.967
0.7200970649719238,-0.014,-0.34,-0.901,0.963
0.7460699081420898,-0.078,-0.375,-0.866,0.947
0.7463340759277344,-0.078,-0.375,-0.866,0.947
0.7497878074645996,-0.08,-0.399,-0.858,0.95
0.7603497505187988,-0.104,-0.402,-0.853,0.949
0.7699217796325684,-0.136,-0.396,-0.847,0.945
0.7809920310974121,-0.151,-0.408,-0.858,0.962
0.7913429737091064,-0.172,-0.42,-0.875,0.986
0.8006329536437988,-0.177,-0.425,-0.889,1.001
0.81072998046875,-0.159,-0.43,-0.885,0.997
0.8208448886871338,-0.166,-0.441,-0.867,0.987
0.8471927642822266,-0.12,-0.462,-0.819,0.948
0.8474478721618652,-0.12,-0.462,-0.819,0.948
0.850733757019043,-0.128,-0.439,-0.794,0.916
0.8606998920440674,-0.149,-0.42,-0.82,0.933
0.8707270622253418,-0.165,-0.417,-0.87,0.979
0.8807718753814697,-0.18,-0.407,-0.882,0.988
0.890906810760498,-0.17,-0.403,-0.885,0.987
0.9007568359375,-0.165,-0.381,-0.912,1.002
0.9116830825805664,-0.137,-0.385,-0.928,1.014
0.9219141006469727,-0.104,-0.352,-0.908,0.979
0.946220874786377,-0.099,-0.315,-0.886,0.946
0.9464659690856934,-0.099,-0.315,-0.886,0.946
0.9510869979858398,-0.129,-0.315,-0.913,0.974
0.9615828990936279,-0.163,-0.339,-0.93,1.003
0.9714479446411133,-0.162,-0.334,-0.892,0.966
0.9818708896636963,-0.139,-0.322,-0.836,0.907
0.9921250343322754,-0.138,-0.289,-0.827,0.887
1.0018768310546875,-0.151,-0.26,-0.877,0.927
1.0122549533843994,-0.197,-0.228,-0.917,0.965
1.0223989486694336,-0.241,-0.218,-0.887,0.945
1.0479788780212402,-0.213,-0.145,-0.753,0.796
1.048213005065918,-0.213,-0.145,-0.753,0.796
1.0516557693481445,-0.172,-0.08,-0.721,0.746
1.062391757965088,-0.134,-0.036,-0.704,0.718
1.0725507736206055,-0.131,0.029,-0.694,0.707
1.0826709270477295,-0.114,0.098,-0.661,0.678
1.0927319526672363,-0.103,0.125,-0.605,0.626
1.1026248931884766,-0.101,0.154,-0.547,0.577
1.1133928298950195,-0.207,0.22,-0.531,0.611
1.1233000755310059,-0.421,0.27,-0.5,0.707
1.1482789516448975,-0.602,0.33,-0.411,0.8
1.148521900177002,-0.602,0.33,-0.411,0.8
1.1522328853607178,-0.619,0.37,-0.369,0.81
1.1631240844726562,-0.654,0.41,-0.248,0.811
1.1735620498657227,-0.712,0.409,-0.214,0.849
1.182878017425537,-0.697,0.35,-0.347,0.854
1.193674087524414,-0.734,0.292,-0.463,0.916
1.203204870223999,-0.912,0.293,-0.513,1.087
1.2135798931121826,-1.088,0.371,-0.506,1.256
1.223625898361206,-1.222,0.382,-0.48,1.367
1.249389886856079,-1.414,0.233,-0.437,1.498
1.249648094177246,-1.414,0.233,-0.437,1.498
1.253035068511963,-1.462,0.191,-0.376,1.522
1.2637810707092285,-1.542,0.119,-0.305,1.576
1.2742888927459717,-1.625,0.033,-0.242,1.643
1.283411979675293,-1.689,-0.042,-0.177,1.699
1.2940728664398193,-1.738,-0.118,-0.105,1.745
1.304649829864502,-1.753,-0.214,-0.02,1.766
1.3143620491027832,-1.738,-0.301,0.095,1.766
1.3242099285125732,-1.731,-0.382,0.227,1.787
1.3496708869934082,-1.595,-0.482,0.368,1.706
1.3499178886413574,-1.595,-0.482,0.368,1.706
1.3540799617767334,-1.532,-0.506,0.428,1.669
1.364689826965332,-1.491,-0.5,0.493,1.648
1.3745198249816895,-1.423,-0.467,0.553,1.597
1.384124755859375,-1.338,-0.423,0.587,1.521
