time,gFx,gFy,gFz,gFTotal
0.0022780895233154297,-0.014,-0.418,-0.775,0.881
0.011213064193725586,0.019,-0.42,-0.78,0.886
0.02126002311706543,0.093,-0.435,-0.752,0.874
0.03157305717468262,0.168,-0.469,-0.698,0.858
0.04205584526062012,0.203,-0.51,-0.664,0.862
0.051481008529663086,0.201,-0.542,-0.662,0.879
0.06236004829406738,0.175,-0.554,-0.682,0.896
0.07231593132019043,0.142,-0.552,-0.707,0.908
0.0944969654083252,0.091,-0.551,-0.745,0.931
0.09473681449890137,0.091,-0.551,-0.745,0.931
0.10161185264587402,0.112,-0.586,-0.771,0.975
0.11243987083435059,0.138,-0.612,-0.803,1.019
0.12262511253356934,0.137,-0.618,-0.831,1.045
0.13263297080993652,0.121,-0.625,-0.844,1.057
0.14271903038024902,0.097,-0.633,-0.841,1.057
0.15281414985656738,0.061,-0.627,-0.837,1.048
0.16359996795654297,0.089,-0.646,-0.872,1.089
0.1732008457183838,0.085,-0.619,-0.891,1.088
0.19838595390319824,0.036,-0.582,-0.935,1.102
0.19862914085388184,0.036,-0.582,-0.935,1.102
0.2026231288909912,0.064,-0.599,-0.977,1.148
0.2130730152130127,0.13,-0.62,-1.016,1.197
0.22335004806518555,0.216,-0.649,-1.031,1.237
0.23277783393859863,0.268,-0.657,-1.034,1.254
0.24418997764587402,0.285,-0.611,-1.027,1.229
0.2533848285675049,0.3,-0.539,-1.018,1.19
0.26334595680236816,0.305,-0.485,-1.028,1.177
0.27364182472229004,0.351,-0.497,-1.123,1.277
0.29899001121520996,0.413,-0.485,-1.341,1.485
0.29923200607299805,0.413,-0.485,-1.341,1.485
0.3029899597167969,0.404,-0.4,-1.385,1.497
0.3136110305786133,0.366,-0.309,-1.314,1.399
0.3237941265106201,0.289,-0.292,-1.176,1.246
0.3334238529205322,0.233,-0.295,-1.008,1.076
0.344074010848999,0.228,-0.331,-0.884,0.971
0.35416102409362793,0.279,-0.394,-0.822,0.953
0.36440491676330566,0.469,-0.437,-0.834,1.052
0.37419700622558594,0.58,-0.424,-0.903,1.154
0.39939403533935547,0.361,-0.273,-0.906,1.013
0.39963603019714355,0.361,-0.273,-0.906,1.013
0.4040360450744629,0.155,-0.195,-0.902,0.936
0.41462111473083496,0.083,-0.234,-0.852,0.887
0.4243810176849365,0.145,-0.28,-0.845,0.902
0.434114933013916,0.237,-0.291,-0.858,0.936
0.4450240135192871,0.211,-0.32,-0.854,0.936
0.45511412620544434,0.122,-0.31,-0.84,0.904
0.46480488777160645,0.034,-0.285,-0.814,0.863
0.4751260280609131,-0.005,-0.298,-0.806,0.859
0.49934887886047363,-0.034,-0.301,-0.762,0.82
0.4995849132537842,-0.034,-0.301,-0.762,0.82
0.5045249462127686,-0.045,-0.298,-0.752,0.81
0.5144431591033936,-0.063,-0.298,-0.73,0.791
0.5251319408416748,-0.072,-0.276,-0.709,0.764
0.5352790355682373,-0.046,-0.253,-0.681,0.728
0.5456578731536865,-0.02,-0.251,-0.623,0.672
0.5555579662322998,0.005,-0.258,-0.548,0.606
0.5656321048736572,0.01,-0.259,-0.476,0.542
0.5755898952484131,0.014,-0.281,-0.421,0.506
0.6000111103057861,-0.001,-0.315,-0.309,0.441
0.6002440452575684,-0.001,-0.315,-0.309,0.441
0.6060149669647217,-0.041,-0.3,-0.284,0.415
0.6153240203857422,-0.066,-0.275,-0.356,0.455
0.6256778240203857,-0.053,-0.25,-0.514,0.574
0.6359388828277588,-0.056,-0.213,-0.701,0.735
0.6461119651794434,-0.018,-0.138,-0.877,0.888
0.6560561656951904,0.01,-0.089,-1.016,1.02
0.6660959720611572,0.059,-0.152,-1.081,1.093
0.6764438152313232,0.014,-0.19,-1.103,1.119
0.6896669864654541,-0.034,-0.188,-1.129,1.145
0.7026121616363525,-0.059,-0.196,-1.246,1.263
0.7060568332672119,-0.063,-0.228,-1.404,1.424
0.7159750461578369,-0.03,-0.258,-1.466,1.489
0.7269980907440186,-0.015,-0.244,-1.38,1.401
0.736518144607544,-0.055,-0.323,-1.255,1.297
0.7467689514160156,-0.065,-0.459,-1.104,1.197
0.7569200992584229,-0.058,-0.497,-0.983,1.103
0.766740083694458,-0.041,-0.489,-0.933,1.054
0.7769501209259033,-0.036,-0.488,-0.938,1.058
0.8016619682312012,-0.149,-0.489,-0.923,1.055
0.8018989562988281,-0.149,-0.489,-0.923,1.055
0.8068540096282959,-0.222,-0.409,-1.015,1.117
0.816763162612915,-0.229,-0.346,-1.172,1.243
0.8277649879455566,-0.222,-0.247,-1.183,1.229
0.8373439311981201,-0.186,-0.175,-1.129,1.158
0.8474249839782715,-0.155,-0.102,-1.105,1.12
0.8575789928436279,-0.145,-0.025,-1.135,1.144
0.8678090572357178,-0.158,0.038,-1.153,1.164
0.8777110576629639,-0.175,0.104,-1.149,1.167
0.902336835861206,-0.257,0.227,-1.202,1.25
0.9026269912719727,-0.257,0.227,-1.202,1.25
0.9073660373687744,-0.27,0.316,-1.287,1.352
0.9170589447021484,-0.152,0.287,-1.327,1.366
0.927886962890625,-0.183,0.41,-1.277,1.354
0.9377028942108154,-0.469,0.632,-1.159,1.401
0.9481890201568604,-0.644,0.549,-1.026,1.33
0.958298921585083,-0.641,0.413,-0.883,1.167
0.9683778285980225,-0.52,0.382,-0.719,0.966
0.9784040451049805,-0.375,0.348,-0.627,0.809
1.003572940826416,-0.262,0.435,-0.485,0.702
1.0038321018218994,-0.262,0.435,-0.485,0.702
1.007930040359497,-0.309,0.575,-0.39,0.76
1.018082857131958,-0.343,0.651,-0.27,0.784
1.0284678936004639,-0.33,0.693,-0.148,0.782
1.0389411449432373,-0.324,0.754,-0.048,0.822
